Company,Symbol,Marketprice,previousClosePrice,changeInPrice,pe_ratio,eps_ratio,Volume,MarketCap
Seaboard Corporation,SEB,3775.21,3799.99,-24.78,9.19,410.82,323,4.382B
Natera Inc.,NTRA,40.17,40.63,-0.46,0,-5.89,641066,4.38B
Bank of India Limited,BANKINDIA.NS,88.25,86.2,2.05,11.16,7.91,23293216,362.14B
BIM Birlesik Magazalar A.S.,BIMAS.IS,136.9,136.5,0.4,15.06,9.09,9682946,81.845B
British Land Company Plc,BLDA.F,4.42,4.56,-0.14,6.6,0.67,200,4.178B
Mediclinic International plc,MEI.JO,10157.0,10162.0,-5.0,21.61,4.7,99192,75.797B
NMDC Limited,NMDC.NS,123.05,119.75,3.3,5.74,21.44,8434466,360.758B
BAWAG Group AG,0B2.F,49.36,49.12,0.24,8.67,5.69,200,4.084B
South Jersey Industries Inc.,SJI,35.53,35.54,-0.01,26.71,1.33,526567,4.351B
Super Micro Computer Inc.,SMCI,82.1,81.91,0.19,10.0,8.21,598345,4.345B
F&F Co. Ltd,383220.KS,144500.0,147500.0,-3000.0,0,0,154150,5.512T
National Beverage Corp.,FIZZ,46.53,47.85,-1.32,31.65,1.47,135734,4.344B
Endava plc,DAVA,76.5,77.0,-0.5,38.25,2.0,120075,4.343B
Alkem Laboratories Limited,ALKEM.NS,3004.7,3003.25,1.45,32.91,91.31,26639,359.257B
Valeo SE,FR.PA,16.7,17.02,-0.32,111.33,0.15,421047,4.066B
Schibsted ASA,SCHA.OL,185.5,186.7,-1.2,1.55,119.94,132154,42.526B
Cytokinetics Incorporated,CYTK,45.82,45.69,0.13,0,-3.21,940309,4.336B
Denbury Inc.,DEN,87.02,85.96,1.06,8.85,9.83,303315,4.334B
Gol Linhas Aéreas Inteligentes S.A.,GOL,2.67,2.8,-0.13,0,-2.076,915464,4.441B
Enagás S.A.,ENG.MC,15.52,15.84,-0.32,18.26,0.85,1003069,4.056B
Terreno Realty Corporation,TRNO,56.87,57.52,-0.65,24.94,2.28,251553,4.326B
Bangkok Expressway and Metro Public Company Limited,BEM.BK,9.8,9.7,0.1,65.33,0.15,70097096,149.793B
Atlas Corp.,ATCO,15.34,15.34,0.0,7.45,2.06,646562,4.315B
Mainfreight Limited,MFT.NZ,67.5,67.25,0.25,15.38,4.39,5484,6.797B
Metropolitan Bank & Trust Company,MTPOF,0.94,0.94,0.0,7.83,0.12,3877,4.353B
MP Materials Corp.,MP,24.28,24.47,-0.19,16.63,1.46,1877859,4.311B
Insperity Inc.,NSP,113.6,114.58,-0.98,29.13,3.9,78815,4.309B
Topicus.com Inc.,TOI.V,71.09,70.01,1.08,15.29,4.65,13624,5.822B
The Bidvest Group Limited,BVT.JO,21439.0,21507.0,-68.0,14.39,14.9,241581,73.1B
