Company,Symbol,Marketprice,previousClosePrice,changeInPrice,pe_ratio,eps_ratio,Volume,MarketCap
Hays plc,HAS.L,115.7,118.3,-2.6,0,-0.5,853873,1.934B
Golub Capital BDC Inc.,GBDC,13.16,13.25,-0.09,20.28,0.65,1381966,2.238B
Cedar Fair L.P.,FUN,41.34,40.49,0.85,0,-10.45,147163,2.35B
TowneBank,TOWN,30.84,30.93,-0.09,11.86,2.6,93837,2.242B
Prestige Estates Projects Limited,PRESTIGE.NS,463.55,452.5,11.05,136.66,3.39,275824,185.82B
NexPoint Residential Trust Inc.,NXRT,43.52,43.68,-0.16,118.26,0.37,101280,1.099B
Rogers Corporation,ROG,119.34,120.98,-1.64,32.94,3.62,264766,2.235B
GoHealth Inc.,GOCO,10.45,10.41,0.04,614.71,0.02,71458,3.351B
Outokumpu Oyj,OUT1V.HE,4.731,4.798,-0.07,0,-0.282,1195346,2.141B
Leslie's Inc.,LESL,12.21,12.08,0.13,18.22,0.67,3557839,2.228B
JOYY Inc.,YY,31.59,32.1,-0.51,1.7,18.53,296083,2.463B
Maple Leaf Foods Inc.,MFI.TO,24.45,24.1,0.35,26.87,0.91,98287,3.032B
Elekta AB (publ),EKTA-B.ST,62.8,63.32,-0.52,18.17,3.46,825700,23.995B
Frontier Group Holdings Inc.,ULCC,10.27,10.2,0.07,0,-0.85,394659,2.305B
Bowlero Corp.,BOWL,13.48,13.22,0.26,0,-13.26,839650,3.15B
Kajaria Ceramics Limited,KAJARIACER.NS,1160.2,1160.4,-0.2,80.01,14.5,98550,184.842B
Navient Corporation,NAVI,16.45,16.6,-0.15,3.54,4.65,540860,2.651B
Cyfrowy Polsat S.A.,CP9.F,3.708,3.622,0.09,8.06,0.46,839,2.328B
Berner Kantonalbank AG,BEKN.SW,222.5,222.0,0.5,14.35,15.5,298,2.056B
Osisko Gold Royalties Ltd,OR,12.07,12.1,-0.03,149.01,0.08,221556,2.009B
Hanesbrands Inc.,HBI,6.36,6.26,0.1,0,-0.21,7638337,2.221B
John Wiley & Sons Inc.,WLY,40.06,40.05,0.01,0,0,245099,N/A
Kontoor Brands Inc.,KTB,39.99,39.67,0.32,34.18,1.17,444467,2.292B
Gestamp Automoción S.A.,GEST.MC,3.614,3.652,-0.04,0,-0.263,196048,2.077B
Dream Industrial Real Estate Investment Trust,DIR-UN.TO,11.69,11.7,-0.01,8.92,1.31,166465,2.694B
First Majestic Silver Corp.,AG,8.34,8.44,-0.1,77.22,0.11,3890706,2.14B
Weis Markets Inc.,WMK,82.29,83.26,-0.97,19.0,4.33,81264,2.213B
Blue Dart Express Limited,BLUEDART.NS,7706.05,7693.6,12.45,0,-7.91,12541,182.848B
IIFL Finance Limited,IIFL.NS,481.2,480.6,0.6,37.54,12.82,205025,182.522B
SSP Group plc,SSPG.L,229.0,228.2,0.8,0,-76.1,461878,1.822B
Alignment Healthcare Inc.,ALHC,11.76,11.71,0.05,0,-10.95,843635,2.202B
Urban Outfitters Inc.,URBN,23.85,24.05,-0.2,2385.0,0.01,1886259,2.335B
ReNew Energy Global Plc,RNW,5.5,5.55,-0.05,0,-0.4,355781,2.204B
SoftwareONE Holding AG,SWON.SW,13.11,13.11,0.0,11.5,1.14,88945,2.026B
Washington Federal Inc.,WAFD,33.55,33.98,-0.43,16.91,1.98,250482,2.188B
Tata Teleservices (Maharashtra) Limited,TTML.NS,92.75,93.25,-0.5,0,-10.21,1243464,181.822B
WD-40 Company,WDFC,161.21,162.64,-1.43,29.63,5.44,67928,2.21B
Paradox Interactive AB (publ),PDX.ST,212.2,213.3,-1.1,45.73,4.64,80153,22.408B
WesBanco Inc.,WSBC,36.98,37.27,-0.29,14.97,2.47,97593,2.338B
Dermapharm Holding SE,DMP.F,37.72,38.04,-0.32,23.72,1.59,30,2.031B
Corcept Therapeutics Incorporated,CORT,20.31,20.48,-0.17,23.89,0.85,528516,2.345B
1&1 AG,1U1.DE,11.6,11.68,-0.08,7.28,1.59,43643,2.05B
SL Green Realty Corp.,SLG,33.72,33.76,-0.04,10.0,3.37,833709,2.25B
SiTime Corporation,SITM,101.62,102.31,-0.69,139.78,0.73,125309,2.089B
Four Corners Property Trust Inc.,FCPT,25.93,25.88,0.05,24.01,1.08,301583,2.006B
Vertex Inc.,VERX,14.51,14.85,-0.34,0,-0.0,91652,2.159B
Agiliti Inc.,AGTI,16.31,16.32,-0.01,163.1,0.1,199622,2.131B
Progress Software Corporation,PRGS,50.45,50.45,0.0,29.33,1.72,118510,2.212B
Dana Incorporated,DAN,15.13,15.28,-0.15,0,-0.12,551629,2.182B
Gentherm Incorporated,THRM,65.29,66.25,-0.96,26.73,2.44,73124,2.169B
Kennedy-Wilson Holdings Inc.,KW,15.73,15.62,0.11,23.83,0.66,776911,2.191B
Boral Limited,BLD.AX,2.89,2.85,0.04,0,-0.912,366926,3.188B
Harmony Gold Mining Company Limited,HMY,3.4,3.46,-0.06,7.82,0.435,2926752,2.129B
Micro Focus International plc,MFGP,6.31,6.3,0.01,0,-8.85,159571,2.133B
