Company,Symbol,Marketprice,previousClosePrice,changeInPrice,pe_ratio,eps_ratio,Volume,MarketCap
PT Hanjaya Mandala Sampoerna Tbk,HSZ.F,0.048,0.049,-0.0,0,0.0,5500,5.864B
KOSÉ Corporation,4922.T,14420.0,14500.0,-80.0,57.32,251.57,123300,822.668B
Swedish Orphan Biovitrum AB publ),SOBI.ST,215.7,217.8,-2.1,20.74,10.4,217984,63.845B
Banca Mediolanum S.p.A.,BMED.MI,7.8,7.91,-0.11,8.12,0.96,423534,5.755B
Info Edge India) Limited,NAUKRI.NS,3932.05,3920.6,11.45,9.23,426.07,278750,507.958B
Zomato Limited,ZOMATO.NS,59.3,60.85,-1.55,0,-1.67,33228803,507.546B
Qualtrics International Inc.,XM,10.38,10.34,0.04,0,-2.13,832969,6.132B
Credit Acceptance Corporation,CACC,474.4,476.15,-1.75,10.37,45.73,76908,6.131B
Levi Strauss & Co.,LEVI,15.52,15.63,-0.11,11.01,1.41,876948,6.121B
CTS Eventim AG & Co. KGaA,EVD.F,59.7,58.95,0.75,45.57,1.31,11,5.731B
PT Charoen Pokphand Indonesia Tbk,CPIN.JK,5650.0,5850.0,-200.0,23.21,243.38,3676500,95.929T
Cosan S.A.,CSAN,13.06,13.09,-0.03,19.79,0.66,115630,6.106B
Nissan Chemical Corporation,4021.T,5780.0,5820.0,-40.0,17.87,323.44,527400,816.223B
DXC Technology Company,DXC,26.5,26.74,-0.24,8.55,3.1,1497224,6.097B
Texas Roadhouse Inc.,TXRH,90.95,92.88,-1.93,24.19,3.76,737257,6.086B
Harley-Davidson Inc.,HOG,41.6,41.0,0.6,8.65,4.81,1006160,6.081B
RBC Bearings Incorporated,RBC,209.35,213.11,-3.76,61.21,3.42,95974,6.075B
Samvardhana Motherson International Limited,MOTHERSON.NS,74.15,74.45,-0.3,78.88,0.94,10694177,502.472B
Flowers Foods Inc.,FLO,28.74,28.95,-0.21,27.9,1.03,1538864,6.068B
NextEra Energy Partners LP,NEP,70.09,70.82,-0.73,13.74,5.1,509074,6.065B
Science Applications International Corporation,SAIC,110.93,110.45,0.48,23.01,4.82,234547,6.06B
Nedbank Group Limited,NED.JO,21258.0,21277.0,-19.0,8.23,25.82,574299,103.687B
West Fraser Timber Co. Ltd.,WFG,72.29,74.14,-1.85,2.97,24.37,81720,6.06B
AirTAC International Group,1590.TW,931.0,924.0,7.0,29.63,31.42,203591,186.2B
GlobalWafers Co. Ltd.,6488.TWO,427.5,430.5,-3.0,16.11,26.54,880892,186.064B
Kinsale Capital Group Inc.,KNSL,261.52,264.38,-2.86,43.08,6.07,191941,6.036B
Coupa Software Incorporated,COUP,79.17,79.19,-0.02,0,-4.84,2290736,6.029B
Allegro.eu SA,ALE.WA,25.13,25.51,-0.38,39.89,0.63,1352354,26.56B
Bankinter S.A.,BKT.MC,6.27,6.33,-0.06,11.61,0.54,1300001,5.634B
Petro Rio S.A.,PRIO3.SA,37.21,37.25,-0.04,9.35,3.98,7890300,31.54B
Choice Hotels International Inc.,CHH,112.64,111.77,0.87,18.56,6.07,319185,6.004B
Ternium S.A.,TX,30.56,30.91,-0.35,2.2,13.9,242754,5.999B
Nutanix Inc.,NTNX,26.05,25.87,0.18,0,-4.62,1055406,5.994B
BRP Inc.,DOOO,76.35,76.3,0.05,11.97,6.38,29984,5.997B
MINEBEA MITSUMI Inc.,6479.T,1971.0,1969.0,2.0,12.58,156.62,1252100,800.514B
Houlihan Lokey Inc.,HLI,87.16,88.69,-1.53,16.11,5.41,240748,5.984B
New Oriental Education & Technology Group Inc.,EDU,34.82,36.04,-1.22,0,-6.18,1864287,5.981B
Japan Real Estate Investment Corporation,8952.T,577000.0,579000.0,-2000.0,24.34,23704.7,1975,799.266B
Voya Financial Inc.,VOYA,61.49,62.4,-0.91,10.37,5.93,793079,5.975B
Encompass Health Corporation,EHC,59.81,59.64,0.17,17.29,3.46,436517,5.968B
Affiliated Managers Group Inc.,AMG,158.43,160.53,-2.1,12.25,12.93,181714,5.968B
Konami Group Corporation,9766.T,5970.0,5980.0,-10.0,17.17,347.63,603200,797.473B
PT GoTo Gojek Tokopedia Tbk,GOTO.JK,91.0,97.0,-6.0,0,-64.03,2801920800,93.608T
Emperador Inc.,EMI.SI,0.51,0.51,0.0,51.0,0.01,102600,8.026B
Sekisui Chemical Co. Ltd.,4204.T,1845.0,1857.0,-12.0,10.19,181.11,554000,796.667B
RLI Corp.,RLI,131.27,133.72,-2.45,10.34,12.69,126141,5.957B
Rexel S.A.,RXL.PA,18.44,18.76,-0.32,7.15,2.58,413067,5.579B
Toromont Industries Ltd.,TIH.TO,97.71,97.59,0.12,20.31,4.81,83555,8.036B
Axfood AB publ),AXFO.ST,285.9,290.1,-4.2,23.32,12.26,202886,61.699B
Hulic Co. Ltd.,3003.T,1040.0,1040.0,0.0,9.96,104.42,1439100,792.589B
Nemetschek SE,NEM.F,48.08,47.88,0.2,34.34,1.4,21,5.553B
Sonoco Products Company,SON,60.71,60.64,0.07,13.83,4.39,292920,5.92B
Hualan Biological Engineering Inc.,002007.SZ,22.63,22.17,0.46,36.5,0.62,33282228,41.285B
STAG Industrial Inc.,STAG,32.31,32.92,-0.61,24.11,1.34,706934,5.917B
AGNC Investment Corp.,AGNC,10.35,10.48,-0.13,0,-1.86,9461281,5.916B
Atacadão S.A.,CRFB3.SA,14.78,15.09,-0.31,18.25,0.81,4501100,31.092B
The Descartes Systems Group Inc.,DSGX,69.65,70.25,-0.6,66.33,1.05,97831,5.908B
Chang Hwa Commercial Bank Ltd.,2801.TW,17.15,17.15,0.0,17.32,0.99,2395660,181.679B
Mapfre S.A.,MAP.MC,1.81,1.828,-0.02,7.54,0.24,2820687,5.529B
Otsuka Corporation,4768.T,4155.0,4130.0,25.0,19.82,209.63,367700,787.796B
Stockland,SGP.AX,3.63,3.66,-0.03,6.05,0.6,5692985,8.665B
Engie Brasil Energia S.A.,EGIE3.SA,37.88,37.83,0.05,16.69,2.27,1375300,30.907B
Investec plc,INVR.L,550.0,550.0,0.0,0.11,52.0,194,4.851B
Taishin Financial Holding Co. Ltd.,2887.TW,15.1,15.05,0.05,19.87,0.76,15046301,180.809B
Amkor Technology Inc.,AMKR,23.98,24.01,-0.03,7.2,3.33,659354,5.875B
Tempur Sealy International Inc.,TPX,34.33,34.22,0.11,12.13,2.83,1570996,5.87B
United States Steel Corporation,X,25.05,25.57,-0.52,2.07,12.13,3550672,5.868B
CEMEX S.A.B. de C.V.,CX,4.05,4.15,-0.1,1.09,3.72,3819875,6.055B
HK Electric Investments and HK Electric Investments Limited,2638.HK,5.17,5.13,0.04,14.77,0.35,3611913,45.683B
New York Community Bancorp Inc.,NYCB,8.6,8.67,-0.07,6.83,1.26,7068695,5.858B
Starwood Property Trust Inc.,STWD,18.33,18.39,-0.06,7.05,2.6,3399728,5.854B
Polaris Inc.,PII,101.0,100.54,0.46,12.39,8.15,238751,5.854B
Landstar System Inc.,LSTR,162.9,164.78,-1.88,13.43,12.13,135087,5.852B
BELIMO Holding AG,BEAN.SW,440.0,444.0,-4.0,47.72,9.22,15239,5.412B
PDC Energy Inc.,PDCE,63.48,63.09,0.39,3.25,19.51,997795,5.849B
Wynn Macau Limited,1128.HK,8.7,8.61,0.09,8.88,0.98,14747049,45.548B
Ashland Inc.,ASH,107.53,108.4,-0.87,33.92,3.17,252419,5.835B
Corporate Office Properties Trust,OFC,25.94,25.97,-0.03,27.6,0.94,439544,5.833B
EnLink Midstream LLC,ENLC,12.3,12.22,0.08,23.21,0.53,1272790,5.825B
Daifuku Co. Ltd.,6383.T,6180.0,6220.0,-40.0,19.98,309.26,355200,778.785B
Grupo Simec S.A.B. de C.V.,SIM,33.8,33.8,0.0,10.03,3.37,1010,5.822B
Embracer Group AB publ),EMBRAC-B.ST,47.29,50.07,-2.78,0,-4.15,5639432,58.67B
Asset World Corp Public Company Limited,AWC.BK,6.3,6.4,-0.1,57.27,0.11,46446323,201.605B
Trent Limited,TRENT.NS,1351.35,1348.6,2.75,132.1,10.23,310840,480.387B
Soitec S.A.,SOI.PA,152.85,155.55,-2.7,27.44,5.57,34698,5.44B
BOC Aviation Limited,2588.HK,65.15,64.15,1.0,10.26,6.35,580156,45.215B
KGHM Polska Miedz S.A.,KGHA.F,27.18,27.41,-0.23,3.82,7.11,50,5.436B
Sumitomo Chemical Company Limited,4005.T,474.0,476.0,-2.0,5.02,94.37,5661900,775.175B
Roivant Sciences Ltd.,ROIV,7.99,7.88,0.11,0,-4.52,2192882,5.796B
Elanco Animal Health Incorporated,ELAN,12.22,12.12,0.1,0,-0.75,4245418,5.795B
National Fuel Gas Company,NFG,63.3,64.05,-0.75,10.29,6.15,439375,5.791B
SouthState Corporation,SSB,76.36,76.96,-0.6,12.26,6.23,196136,5.78B
ChampionX Corporation,CHX,28.99,28.83,0.16,46.76,0.62,1116889,5.779B
Page Industries Limited,PAGEIND.NS,42836.7,43264.35,-427.65,65.07,658.31,21607,478.075B
Woodward Inc.,WWD,96.61,96.42,0.19,35.65,2.71,174926,5.771B
Oshkosh Corporation,OSK,88.19,87.62,0.57,14.92,5.91,309682,5.767B
Unimicron Technology Corp.,3037.TW,120.0,121.5,-1.5,6.67,17.99,16564298,177.404B
ConvaTec Group Plc,CTEC.L,232.6,234.6,-2.0,77.53,0.03,633734,4.754B
37 Interactive Entertainment Network Technology Group Co. Ltd.,002555.SZ,18.1,17.65,0.45,11.83,1.53,34516697,40.143B
Nomura Real Estate Master Fund Inc.,3462.T,163000.0,163200.0,-200.0,29.7,5487.93,4917,768.578B
Allegro MicroSystems Inc.,ALGM,30.02,29.98,0.04,46.91,0.64,801773,5.743B
Valley National Bancorp,VLY,11.31,11.43,-0.12,10.77,1.05,2396918,5.727B
Andritz AG,AZ2.F,53.8,53.95,-0.15,13.9,2.38,200,5.366B
Apellis Pharmaceuticals Inc.,APLS,51.71,51.52,0.19,0,-4.7,675774,5.034B
Mirvac Group,MGR.AX,2.13,2.14,-0.01,24.48,0.087,5545975,25.194B
