Company,Symbol,Marketprice,previousClosePrice,changeInPrice,pe_ratio,eps_ratio,Volume,MarketCap
SNGN Romgaz SA,RZ8G.F,7.25,7.3,-0.05,4.62,1.57,70,2.927B
Prestige Consumer Healthcare Inc.,PBH,62.6,63.72,-1.12,15.46,4.05,224078,3.1B
SNC-Lavalin Group Inc.,SNC.TO,23.86,23.65,0.21,76.97,0.31,272959,4.189B
Axonics Inc.,AXNX,62.53,63.02,-0.49,0,-1.8,397581,3.097B
Sprout Social Inc.,SPT,56.46,56.1,0.36,0,-0.59,411122,3.096B
Signet Jewelers Limited,SIG,68.0,68.05,-0.05,10.56,6.44,447559,3.09B
Curaleaf Holdings Inc.,CURLF,4.2973,4.08,0.22,0,-0.152,759477,3.084B
Aksa Enerji Üretim A.S.,AKSEN.IS,47.0,47.06,-0.06,14.55,3.23,11340329,57.638B
Highwoods Properties Inc.,HIW,27.98,28.03,-0.05,11.56,2.42,527277,3.08B
Belden Inc.,BDC,71.9,73.7,-1.8,21.4,3.36,272014,3.078B
The Phoenix Mills Limited,PHOENIXLTD.NS,1422.5,1385.7,36.8,22.93,62.03,95225,254.595B
Inter Parfums Inc.,IPAR,96.52,97.84,-1.32,29.98,3.22,53843,3.077B
Strauss Group Ltd.,STRS.TA,9329.0,9195.0,134.0,59.8,1.56,472963,10.856B
CIE Automotive S.A.,CIE.MC,24.06,24.58,-0.52,10.55,2.28,57069,2.88B
Playtika Holding Corp.,PLTK,8.51,8.36,0.15,11.05,0.77,992947,3.073B
NewMarket Corporation,NEU,311.11,309.04,2.07,15.27,20.37,46033,3.071B
Avient Corporation,AVNT,33.76,34.07,-0.31,16.63,2.03,411800,3.07B
The AZEK Company Inc.,AZEK,20.32,20.87,-0.55,41.47,0.49,1229897,3.069B
Vodafone Idea Limited,IDEA.NS,7.9,7.9,0.0,0,-9.83,151932024,253.739B
Vienna Insurance Group AG,WSV2.F,22.2,22.15,0.05,7.25,3.06,11,2.874B
Albany International Corp.,AIN,98.59,99.57,-0.98,29.52,3.34,58107,3.066B
Sensient Technologies Corporation,SXT,72.92,73.89,-0.97,22.1,3.3,69608,3.065B
Exxaro Resources Limited,EXX.JO,21731.0,22009.0,-278.0,4.15,52.4,174645,53.159B
National Vision Holdings Inc.,EYE,38.76,38.82,-0.06,53.83,0.72,379017,3.059B
Vishay Intertechnology Inc.,VSH,21.57,21.67,-0.1,7.96,2.71,658785,3.056B
Capstone Infrastructure Corporation,CSE-PA.TO,13.55,13.5,0.05,615.91,0.02,100,4.127B
Vontier Corporation,VNT,19.33,19.27,0.06,7.11,2.72,1691042,3.054B
VZ Holding AG,VZN.SW,71.8,72.2,-0.4,18.7,3.84,2307,2.824B
Cactus Inc.,WHD,50.26,50.13,0.13,32.43,1.55,200377,3.052B
Eastern Bankshares Inc.,EBC,17.25,17.31,-0.06,15.0,1.15,372361,3.048B
Boralex Inc.,BLX.TO,40.02,40.94,-0.92,121.27,0.33,277214,4.113B
PT Indah Kiat Pulp & Paper Tbk,INKP.JK,8725.0,8800.0,-75.0,3.93,2219.55,4826600,47.734T
CNX Resources Corporation,CNX,16.84,16.85,-0.01,0,-7.21,1480484,3.039B
Billerud AB (publ),BILL.ST,127.1,130.5,-3.4,7.57,16.79,421717,31.565B
Grupo Aeroportuario del Centro Norte S.A.B. de C.V.,OMAB,61.84,63.54,-1.7,16.94,3.65,62158,3.063B
Cathay General Bancorp,CATY,40.79,40.99,-0.2,9.06,4.5,204726,3.035B
Squarespace Inc.,SQSP,22.17,21.87,0.3,123.17,0.18,311374,3.034B
Virgin Money UK PLC,VMUK.L,182.1,182.1,0.0,4.92,0.37,961088,2.503B
Olink Holding AB (publ),OLK,25.38,25.43,-0.05,0,-0.34,606157,3.023B
EnerSys,ENS,73.84,74.42,-0.58,23.67,3.12,125419,3.015B
Archaea Energy Inc.,LFG,26.0,26.0,0.0,0,-0.5,1276991,3.013B
Texas Capital Bancshares Inc.,TCBI,60.31,60.47,-0.16,18.97,3.18,267630,3.009B
Intellia Therapeutics Inc.,NTLA,34.89,35.28,-0.39,0,-5.06,892418,3.008B
Lagardere SA,MMB.PA,20.04,20.08,-0.04,222.67,0.09,24953,2.817B
Atlantica Sustainable Infrastructure plc,AY,25.9,26.25,-0.35,0,-0.21,827334,3.006B
Hostess Brands Inc.,TWNK,22.44,22.55,-0.11,18.55,1.21,807222,3.004B
Grupo Aval Acciones y Valores S.A.,AVAL,2.53,2.4,0.13,4.29,0.59,149910,3.004B
Nomad Foods Limited,NOMD,17.24,17.21,0.03,11.73,1.47,363211,3.001B
Plains GP Holdings L.P.,PAGP,12.44,12.39,0.05,11.63,1.07,1980809,2.999B
Paramount Resources Ltd.,POU.TO,28.64,28.02,0.62,8.02,3.57,217651,4.053B
Pacific Premier Bancorp Inc.,PPBI,31.56,31.83,-0.27,10.15,3.11,418355,2.999B
Alumina Limited,AWC.AX,1.52,1.525,-0.0,10.13,0.15,3842238,4.411B
Hankook Tire & Technology Co. Ltd.,161390.KS,31150.0,32700.0,-1550.0,0,0,302323,3.8T
Radian Group Inc.,RDN,19.07,19.22,-0.15,4.34,4.39,633854,2.994B
Quaker Chemical Corporation,KWR,166.9,167.61,-0.71,38.28,4.36,53498,2.993B
Fluence Energy Inc.,FLNC,17.15,17.05,0.1,0,-3.88,679665,2.992B
3M India Limited,3MINDIA.NS,21943.1,22017.3,-74.2,67.4,325.57,759,247.301B
ALK-Abelló A/S,ALK-B.CO,96.05,95.45,0.6,62.78,1.53,233396,20.822B
Société BIC SA,BB.PA,63.95,64.35,-0.4,12.84,4.98,20437,2.796B
Nordex SE,NDX1.F,13.15,12.78,0.37,0,-1.68,11178,2.794B
Acushnet Holdings Corp.,GOLF,42.46,43.19,-0.73,17.92,2.37,321207,2.981B
Lazard Ltd,LAZ,34.67,35.23,-0.56,7.1,4.88,421043,2.979B
EVO Payments Inc.,EVOP,33.84,33.85,-0.01,3384.0,0.01,334047,2.977B
Natura &Co Holding S.A.,NTCO,4.33,4.41,-0.08,24.06,0.18,135578,3.015B
LivaNova PLC,LIVN,55.54,55.68,-0.14,0,-1.97,250471,2.973B
Broadstone Net Lease Inc.,BNL,16.21,16.28,-0.07,22.83,0.71,1211071,2.972B
Faurecia S.E.,EO.PA,14.13,14.32,-0.19,128.45,0.11,649893,2.783B
Sumitomo Pharma Co. Ltd.,4506.T,999.0,1011.0,-12.0,31.31,31.91,813400,396.896B
SPX Technologies Inc.,SPXC,65.65,66.86,-1.21,63.74,1.03,114189,2.967B
Ameresco Inc.,AMRC,57.14,57.66,-0.52,27.6,2.07,133847,2.966B

InMode Ltd.,INMD,35.7,35.56,0.14,16.68,2.14,689312,2.966B
Viscofan S.A.,VIS.MC,60.2,60.8,-0.6,20.13,2.99,29056,2.778B
Travel + Leisure Co.,TNL,36.4,36.15,0.25,8.33,4.37,681818,2.959B
Sportradar Group AG,SRAD,9.96,9.5,0.46,52.42,0.19,148802,2.958B
EFG International AG,EFGN.SW,8.83,8.88,-0.05,15.77,0.56,195829,2.732B
StoneCo Ltd.,STNE,9.44,9.5,-0.06,0,-1.15,2709500,2.951B
Stagwell Inc.,STGW,6.21,6.2,0.01,22.18,0.28,306156,2.951B
Sumitomo Chemical India Limited,SUMICHEM.NS,488.2,470.75,17.45,48.43,10.08,487013,243.708B
Atul Ltd,ATUL.NS,8258.0,8344.8,-86.8,40.2,205.42,30608,243.725B
ASMPT Limited,0522.HK,55.65,55.3,0.35,6.3,8.84,383624,22.956B
Shangri-La Asia Limited,0069.HK,6.4,6.34,0.06,19.25,0.333,913541,22.947B
CA Immobilien Anlagen AG,BZY.F,27.25,26.9,0.35,4.49,6.07,50,2.757B
Suntec Real Estate Investment Trust,T82U.SI,1.38,1.39,-0.01,6.57,0.21,2342100,3.961B
Fluidra S.A.,FDR.MC,14.52,14.48,0.04,11.26,1.29,911847,2.756B
Hillenbrand Inc.,HI,42.67,42.4,0.27,18.81,2.27,504929,3.093B
CD Projekt S.A.,CDR.WA,129.64,128.86,0.78,11.28,11.49,156063,13.06B
MultiChoice Group Limited,MCG.JO,11724.0,11860.0,-136.0,3443.17,3.4,391451,5.024T
nCino Inc.,NCNO,26.44,25.98,0.46,0,-0.57,425756,2.558B
Marks and Spencer Group plc,MKS.L,123.3,124.3,-1.0,0,-8.4,1163398,2.415B
Skyline Champion Corporation,SKY,51.51,51.71,-0.2,51.51,1.0,273144,2.926B
Flughafen Wien Aktiengesellschaft,FLW1.F,32.1,32.3,-0.2,0,-0.87,9,2.747B
ACEA S.p.A.,ACE.MI,12.92,13.1,-0.18,9.66,1.34,99228,2.746B
Asana Inc.,ASAN,13.77,13.74,0.03,0,-1.53,2308446,2.567B
