Company,Symbol,Marketprice,previousClosePrice,changeInPrice,pe_ratio,eps_ratio,Volume,MarketCap
LiveRamp Holdings Inc.,RAMP,23.44,23.64,-0.2,0,-0.93,268357,1.596B
Elme Communities,ELME,17.8,17.94,-0.14,0,0,331199,N/A
Madison Square Garden Entertainment Corp.,MSGE,44.97,44.77,0.2,0,-19.5,222343,1.538B
Jastrzebska Spólka Weglowa S.A.,JSW.WA,58.16,56.62,1.54,0,-9.82,483261,6.829B
AAR Corp.,AIR,44.9,44.7,0.2,301.34,0.15,161155,1.593B
Xenia Hotels & Resorts Inc.,XHR,13.18,13.05,0.13,0,-1.44,320948,1.505B
Q2 Holdings Inc.,QTWO,26.87,26.38,0.49,0,-2.65,368534,1.527B
Eldorado Gold Corporation,EGO,8.36,8.35,0.01,12.53,0.67,543059,1.527B
BRP Group Inc.,BRP,25.14,25.22,-0.08,0,-0.58,443934,2.821B
Borregaard ASA,BRG.OL,152.0,153.6,-1.6,31.57,4.81,34038,15.137B
MAG Silver Corp.,MAG,15.63,15.91,-0.28,0,-0.08,212010,1.527B
Agios Pharmaceuticals Inc.,AGIO,28.08,27.42,0.66,1.22,22.93,320815,1.525B
TTM Technologies Inc.,TTMI,15.08,15.22,-0.14,9.16,1.65,474969,1.574B
Rocket Pharmaceuticals Inc.,RCKT,19.57,19.5,0.07,0,-2.52,899581,1.261B
Stellar Bancorp Inc.,STEL,29.46,29.78,-0.32,0,0,76754,N/A
KEC International Limited,KEC.NS,494.45,504.75,-10.3,23.07,21.44,490236,127.117B
Asahi India Glass Limited,ASAHIINDIA.NS,523.0,516.85,6.15,126.12,4.15,147265,127.304B
Trisura Group Ltd.,TSU.TO,45.29,44.99,0.3,13.81,3.28,55756,1.863B
Granite Construction Incorporated,GVA,35.07,35.39,-0.32,0,-3.18,180136,1.607B
Rosseti Public Joint Stock Company,RSTI.ME,0.6039,0.6055,-0.0,2.77,0.218,27440000,120.07B
CommScope Holding Company Inc.,COMM,7.35,7.3,0.05,0,-3.2,1926141,1.503B
Sheela Foam Limited,SFL.NS,1298.55,1294.5,4.05,29.76,43.63,74055,63.471B
Hope Bancorp Inc.,HOPE,12.81,13.08,-0.27,12.31,1.04,866317,1.54B
First Bancorp,FBNC,42.84,43.36,-0.52,13.47,3.18,73412,1.525B
Scandinavian Tobacco Group A/S,STG.CO,122.1,122.9,-0.8,17.96,6.8,36590,11.352B
