Company,Symbol,Marketprice,previousClosePrice,changeInPrice,pe_ratio,eps_ratio,Volume,MarketCap
Dish TV India Limited,DISHTV.NS,18.4,18.55,-0.15,0,-6.32,6362225,33.879B
Mammoth Energy Services Inc.,TUSK,8.65,8.42,0.23,0,-0.79,461113,403.817M
Lindblad Expeditions Holdings Inc.,LIND,7.7,7.34,0.36,0,-2.67,408079,386.542M
Wemade Co.Ltd.,112040.KQ,31550.0,32800.0,-1250.0,0,0,1764989,517.404B
Aldeyra Therapeutics Inc.,ALDX,6.96,7.09,-0.13,0,-1.11,261859,404.321M
Grupo Supervielle S.A.,SUPV,2.16,2.16,0.0,5.27,0.41,401428,403.7M
Icelandair Group hf.,ICEAIR.IC,1.612,1.56,0.05,0,-0.009,46717204,45.842B
Carriage Services Inc.,CSV,27.54,27.63,-0.09,15.12,1.82,83467,458.602M
CareMax Inc.,CMAX,3.65,3.49,0.16,0,-0.089,211493,317.82M
Skeena Resources Limited,SKE,5.32,5.27,0.05,0,-1.64,59540,347.601M
Marine Products Corporation,MPX,11.77,11.66,0.11,17.11,0.69,38684,400.087M
Niu Technologies,NIU,5.23,5.21,0.02,15.8,0.33,525288,398.918M

Atea Pharmaceuticals Inc.,AVIR,4.81,4.67,0.14,15.42,0.312,421992,399.724M
CECO Environmental Corp.,CECO,11.68,11.59,0.09,0,0,105925,N/A
Global Cord Blood Corporation,CO,2.9876,2.22,0.77,4.92,0.607,0,363.146M
Beazer Homes USA Inc.,BZH,12.76,12.9,-0.14,5.08,2.51,134970,401.426M
Priority Technology Holdings Inc.,PRTH,5.26,5.23,0.03,13.84,0.38,17666,403.101M
Marathon Digital Holdings Inc.,MARA,3.42,3.41,0.01,0,-0.128,9614973,350.998M
Gamania Digital Entertainment Co. Ltd.,6180.TWO,69.9,67.5,2.4,14.15,4.94,6892487,12.267B
Smith & Wesson Brands Inc.,SWBI,8.68,8.78,-0.1,1.6,5.43,746286,419.198M
PMV Pharmaceuticals Inc.,PMVP,8.7,8.66,0.04,0,-1.11,348459,394.809M
Vesuvius India Limited,VESUVIUS.NS,1613.1,1583.25,29.85,64.81,24.89,6264,32.74B
Newtek Business Services Corp.,NEWT,16.25,16.55,-0.3,10.22,1.59,250075,366.584M
MOIL Limited,MOIL.NS,161.05,160.1,0.95,51.83,3.11,165044,38.222B
Computer Programs and Systems Inc.,CPSI,27.22,27.04,0.18,27.78,0.98,47101,398.729M
International General Insurance Holdings Ltd.,IGIC,8.0,8.15,-0.15,8.4,0.95,36552,391.083M
Avon Protection plc,AVON.L,1075.0,1100.0,-25.0,2.44,441.3,36756,333.5M
GAMCO Investors Inc.,GAMI,15.24,15.1,0.14,0,0,8223,N/A
Great Lakes Dredge & Dock Corporation,GLDD,5.95,5.92,0.03,9.74,0.61,354671,391.132M
Archosaur Games Inc.,9990.HK,3.83,3.78,0.05,0,0,5318000,3.112B
PT Bank Mayapada Internasional Tbk,MAYA.JK,520.0,525.0,-5.0,147.77,3.52,749900,6.153T
American National Bankshares Inc.,AMNB,36.93,36.82,0.11,12.35,2.99,14658,398.057M
Orchid Island Capital Inc.,ORC,10.5,10.72,-0.22,11.89,0.88,842106,1.858B
PREOS Global Office Real Estate & Technology AG,PAG.F,3.2,3.0,0.2,2.34,1.368,2644,383.267M
TCNS Clothing Co. Limited,TCNSBRANDS.NS,524.4,515.05,9.35,0,-13.33,27729,32.291B
Tarsus Pharmaceuticals Inc.,TARS,14.66,14.6,0.06,0,-0.53,41412,303.125M
DZS Inc.,DZSI,12.68,12.92,-0.24,0,-1.67,115431,345.385M
Newpark Resources Inc.,NR,4.15,4.11,0.04,0,-0.895,565765,382.868M
MicroVision Inc.,MVIS,2.35,2.33,0.02,0,-0.102,1733179,385.644M

Entravision Communications Corporation,EVC,4.8,4.77,0.03,0,-0.05,151088,410.047M
Intrepid Potash Inc.,IPI,28.87,28.68,0.19,0,-1.34,226884,388.102M
Huuuge Inc.,HUG.WA,21.8,22.14,-0.34,0,0,113212,N/A
Inovio Pharmaceuticals Inc.,INO,1.56,1.53,0.03,0,-1.073,8177458,328.202M
Tutor Perini Corporation,TPC,7.55,7.62,-0.07,3.56,2.12,320843,385.597M
Ramaco Resources Inc.,METC,8.79,8.75,0.04,0,-0.12,345671,387.722M
CapStar Financial Holdings Inc.,CSTR,17.66,17.56,0.1,10.83,1.63,61275,391.469M
Hyzon Motors Inc.,HYZN,1.55,1.67,-0.12,0,-0.0,1462461,383.85M
Eneti Inc.,NETI,10.05,10.01,0.04,0,-34.7,160907,392.364M
Nano-X Imaging Ltd.,NNOX,7.38,7.03,0.35,0,-1.25,628376,353.337M
Karyopharm Therapeutics Inc.,KPTI,3.4,3.15,0.25,0,-2.722,2605887,256.862M
Trinity Capital Inc.,TRIN,10.93,10.94,-0.01,0,-0.34,332383,297.71M
Reservoir Media Inc.,RSVR,5.97,5.94,0.03,5.05,1.18,34105,382.494M
Kewal Kiran Clothing Limited,KKCL.NS,514.85,526.45,-11.6,23.58,21.84,89124,31.948B
Professional Holding Corp.,PFHD,27.74,28.05,-0.31,41.4,0.67,43796,372.44M
Adicet Bio Inc.,ACET,8.94,8.55,0.39,0,-5.01,446605,349.94M
GreenTree Hospitality Group Ltd.,GHG,3.71,3.82,-0.11,9.46,0.392,30988,382.315M
Ottakringer Getränke AG,OTS.VI,160.0,160.0,0.0,152.53,1.05,4,358.23M
Strides Pharma Science Limited,STAR.NS,349.85,353.65,-3.8,170.33,2.05,159460,31.41B
Transcontinental Realty Investors Inc.,TCI,44.18,43.88,0.3,57.23,0.77,2176,381.685M
Eagle Pharmaceuticals Inc.,EGRX,29.23,28.98,0.25,33.6,0.87,101318,377.473M
Pharvaris N.V.,PHVS,11.25,11.18,0.07,0,-4.11,84641,372.697M
Turning Point Brands Inc.,TPB,21.63,20.5,1.13,10.63,2.04,341164,408.227M
DMC Global Inc.,BOOM,19.44,20.07,-0.63,0,-0.34,140350,374.725M
Marimekko Oyj,MEKKO.HE,8.76,8.83,-0.07,14.6,0.6,63883,355.405M
Atlanticus Holdings Corporation,ATLC,26.2,26.31,-0.11,3.77,6.95,17437,378.467M
Bahnhof AB (publ),3B7.F,3.26,3.27,-0.01,23.29,0.14,800,354.639M
Aura Biosciences Inc.,AURA,10.5,10.36,0.14,0,-4.11,43236,378.364M
Sanara MedTech Inc.,SMTI,45.5,44.7,0.8,0,-1.31,15410,377.82M
Macatawa Bank Corporation,MCBC,11.03,10.89,0.14,13.13,0.84,90228,377.737M
HomeTrust Bancshares Inc.,HTBI,24.17,24.15,0.02,11.09,2.18,25033,377.729M
Latham Group Inc.,SWIM,3.22,3.26,-0.04,46.0,0.07,344065,377.13M
Webzen Inc.,069080.KQ,15250.0,14850.0,400.0,0,0,230596,477.525B
PDS Biotechnology Corporation,PDSB,13.2,12.92,0.28,0,-0.89,1326563,375.38M
Hawesko Holding AG,HAW.DE,39.2,39.8,-0.6,14.78,2.65,1423,352.149M
PennantPark Investment Corporation,PNNT,5.75,5.72,0.03,10.73,0.54,244446,385.509M
Kodiak Sciences Inc.,KOD,7.16,6.87,0.29,0,-2.91,328395,370.296M
Olympic Steel Inc.,ZEUS,33.58,33.78,-0.2,0,-0.49,93165,371.976M
Financial Institutions Inc.,FISI,24.36,24.28,0.08,6.92,3.52,22355,385.806M
Luxfer Holdings PLC,LXFR,13.72,13.51,0.21,13.61,1.01,51989,380.111M
Loop Media Inc.,LPTV,6.62,6.15,0.47,0,-0.17,39260,845.242M
CS Disco Inc.,LAW,6.32,6.31,0.01,0,-0.83,317520,364.189M
PetMed Express Inc.,PETS,17.7,17.59,0.11,11.64,1.52,207905,370.689M
Cerberus Cyber Sentinel Corporation,CISO,2.55,2.64,-0.09,0,-0.061,48612,300.364M
Zur Rose Group AG,ROSE.SW,25.56,26.52,-0.96,0,-14.95,97331,261.734M
ESS Tech Inc.,GWH,2.43,2.27,0.16,0,-39.485,2167173,351.563M
Chennai Petroleum Corporation Limited,CHENNPETRO.NS,206.8,204.35,2.45,11.97,17.28,403480,30.855B
BRT Apartments Corp.,BRT,19.64,19.67,-0.03,0,-1.16,80928,358.163M
NanoString Technologies Inc.,NSTG,7.97,7.9,0.07,0,-2.82,448150,363.842M
Telesat Corporation,TSAT,7.5,7.27,0.23,3.63,2.07,70590,89.304M
Peoples Financial Services Corp.,PFIS,51.84,51.89,-0.05,11.26,4.6,2973,371.834M
Digimarc Corporation,DMRC,18.49,18.27,0.22,0,-3.1,54099,313.065M
TuSimple Holdings Inc.,TSP,1.64,1.71,-0.07,0,-5.111,2683802,349.364M
Hathway Cable and Datacom Limited,HATHWAY.NS,17.3,17.2,0.1,12.1,1.43,2065243,30.623B
Farmers & Merchants Bancorp Inc.,FMAO,27.18,27.67,-0.49,14.52,1.87,13211,355.139M
Tata Steel Long Products Limited,TATASTLLP.NS,677.35,667.5,9.85,5.34,126.83,57906,30.548B
Regal Hotels International Holdings Limited,0078.HK,3.2,3.2,0.0,8.42,0.38,2072400,2.876B
El Pollo Loco Holdings Inc.,LOCO,9.96,10.19,-0.23,14.65,0.68,151080,364.148M

Hindustan Construction Company Limited,HCC.NS,20.1,19.6,0.5,0,-3.0,39486983,30.412B
TerrAscend Corp.,TRSSF,1.13,1.08,0.05,0,-0.844,543736,209.501M
The Aaron's Company Inc.,AAN,11.95,11.8,0.15,4.33,2.76,305832,376.224M
India Tourism Development Corporation Limited,ITDC.NS,354.8,350.3,4.5,0,-1.52,28085,30.444B
Tucows Inc.,TCX,33.92,33.75,0.17,62.81,0.54,29967,362.93M
Southern First Bancshares Inc.,SFST,45.75,46.15,-0.4,13.88,3.3,9364,362.037M
Sun Corporation,6736.T,2076.0,2051.0,25.0,0,-43.04,26600,49.7B
AO World plc,AO.L,52.0,52.7,-0.7,10.83,4.8,473557,249.352M
SciPlay Corporation,SCPL,16.08,15.8,0.28,18.7,0.86,206544,394.55M
Hong Kong Ferry (Holdings) Company Limited,0050.HK,7.98,7.87,0.11,21.0,0.38,65000,2.843B
Arbutus Biopharma Corporation,ABUS,2.33,2.32,0.01,0,-1.0,1924628,315.177M
Johnson Controls-Hitachi Air Conditioning India Limited,JCHAC.NS,1103.15,1107.85,-4.7,0,-1.54,13543,30.05B
Inox Wind Limited,INOXWIND.NS,108.55,109.6,-1.05,0,-17.78,1134111,24.089B
Stoke Therapeutics Inc.,STOK,9.23,9.04,0.19,0,-2.09,138735,339.581M
Seer Inc.,SEER,5.8,5.68,0.12,0,-1.25,223109,357.909M
Akoya Biosciences Inc.,AKYA,9.57,9.5,0.07,0,-1.86,121726,356.079M
GasLog Partners LP,GLOP,6.66,6.58,0.08,12.71,0.52,248270,358.806M
374Water Inc.,SCWO,2.86,2.96,-0.1,0,0,8706,351.259M
Xperi Inc.,XPER,8.61,8.72,-0.11,4.92,1.75,179996,900.003M
Automotive Axles Limited,AUTOAXLES.NS,1978.8,1978.45,0.35,1556.88,1.27,3903,29.904B
Allbirds Inc.,BIRD,2.42,2.37,0.05,0,-0.818,1218522,355.367M
Lexicon Pharmaceuticals Inc.,LXRX,1.91,1.93,-0.02,0,-0.53,422740,284.391M
ContextLogic Inc.,WISH,0.4877,0.4733,0.01,0,-5.866,23953053,313.591M
Mirza International Limited,MIRZAINT.NS,247.4,244.35,3.05,471.24,0.52,307157,29.764B
FutureFuel Corp.,FF,8.13,8.21,-0.08,7.67,1.06,232858,355.795M
IRadimed Corporation,IRMD,28.29,28.81,-0.52,349.26,0.08,20712,349.15M
Belpointe PREP LLC,OZ,100.0,99.89,0.11,0,0,48554,N/A
Grindrod Shipping Holdings Ltd.,GRIN,18.71,18.83,-0.12,0,-2.05,83409,348.184M
2seventy bio Inc.,TSVT,9.37,8.96,0.41,0,-13.18,501667,218.968M
Sportsman's Warehouse Holdings Inc.,SPWH,9.41,9.09,0.32,4.57,2.06,431640,412.911M
Gran Tierra Energy Inc.,GTE,0.99,0.9775,0.01,0,-2.12,2457646,363.474M
Citizens & Northern Corporation,CZNC,22.86,22.95,-0.09,14.76,1.55,19988,360.068M
HBL Power Systems Limited,HBLPOWER.NS,105.7,103.55,2.15,234.37,0.45,2678690,29.3B
Canaan Inc.,CAN,2.06,2.05,0.01,0,-0.212,1051006,353.578M
Hersha Hospitality Trust,HT,8.52,8.49,0.03,0,-4.09,238545,335M
North American Construction Group Ltd.,NOA,13.37,13.06,0.31,10.69,1.25,47580,380.247M
Aviat Networks Inc.,AVNW,31.19,31.13,0.06,24.12,1.29,34498,348.754M
New Pacific Metals Corp.,NEWP,2.25,2.25,0.0,0,-0.044,257782,350.01M
Power Mech Projects Limited,POWERMECH.NS,1981.05,2008.5,-27.45,0,-33.94,30771,29.143B
Organogenesis Holdings Inc.,ORGO,2.69,2.62,0.07,16.81,0.16,557182,346.052M
Build-A-Bear Workshop Inc.,BBW,23.84,23.08,0.76,0,-1.54,230764,389.255M
NexPoint Real Estate Finance Inc.,NREF,15.89,16.18,-0.29,5.18,3.07,43630,145.586M
RxSight Inc.,RXST,12.67,12.15,0.52,0,-2.23,63969,346.574M

Giordano International Limited,0709.HK,1.73,1.73,0.0,11.85,0.146,1156808,2.73B
LexinFintech Holdings Ltd.,LX,1.9,1.92,-0.02,3.93,0.483,486161,347.554M
SoundHound AI Inc.,SOUN,1.77,1.03,0.74,0,0,6790444,N/A
OraSure Technologies Inc.,OSUR,4.82,4.8,0.02,0,-0.221,312801,347.225M
McPhy Energy S.A.,MCPHY.PA,12.21,12.7,-0.49,0,-0.43,64092,340.211M
Tredegar Corporation,TG,10.22,10.05,0.17,0,-2.27,160265,344.846M
I-Mab,IMAB,4.18,3.63,0.55,0,-0.052,2645640,326.239M
Sichuan Xunyou Network Technology Co. Ltd.,300467.SZ,11.91,11.69,0.22,79.4,0.15,7493800,2.42B
HCI Group Inc.,HCI,39.59,41.22,-1.63,11.35,3.49,84847,405.825M
Unisys Corporation,UIS,5.11,5.19,-0.08,0.43,11.93,386246,343.148M
Shore Bancshares Inc.,SHBI,17.43,17.48,-0.05,12.81,1.36,35559,345.215M
Civista Bancshares Inc.,CIVB,22.01,22.22,-0.21,10.01,2.2,26604,333.203M
Safe Bulkers Inc.,SB,2.91,2.91,0.0,0,-0.247,750869,353.975M
5E Advanced Materials Inc.,FEAM,7.88,7.6,0.28,0,0,162931,N/A
Traeger Inc.,COOK,2.82,2.83,-0.01,0,-0.497,889079,331.485M
Daily Journal Corporation,DJCO,250.51,267.2,-16.69,7.04,35.56,11368,345.892M
Cyxtera Technologies Inc.,CYXT,1.92,1.84,0.08,0,-1.002,436276,318.68M
Stitch Fix Inc.,SFIX,3.11,3.11,0.0,0,-0.871,2705649,338.368M
Largo Inc.,LGO,5.38,5.24,0.14,12.6,0.43,94108,348.226M
Blue Bird Corporation,BLBD,10.71,9.49,1.22,26.31,0.41,172335,342.376M
Blend Labs Inc.,BLND,1.44,1.24,0.2,0,-1.341,2223979,331.065M
Telos Corporation,TLS,5.09,5.04,0.05,0,-0.56,687546,339.784M
COMPASS Pathways plc,CMPS,8.03,8.18,-0.15,0,-3.55,362101,335.102M
Devolver Digital Inc.,DEVO.L,63.5,65.0,-1.5,0,0,356720,280.833M
Gladstone Capital Corporation,GLAD,9.62,9.63,-0.01,31.03,0.31,132933,330.008M
CarParts.com Inc.,PRTS,6.26,5.94,0.32,0,-0.04,706591,312.312M
Digital Bros S.p.A.,DIB.MI,22.42,22.82,-0.4,11.53,1.94,63742,319.727M
Nilkamal Limited,NILKAMAL.NS,1886.9,1846.05,40.85,26.41,71.45,2702,28.283B
Global Indemnity Group LLC,GBLI,23.31,23.11,0.2,0,-1.48,8608,337.564M
LSI Industries Inc.,LYTS,12.24,12.39,-0.15,46.9,0.26,370194,329.503M
fuboTV Inc.,FUBO,1.74,1.7,0.04,0,-3.735,9696224,278.424M
Despegar.com Corp.,DESP,5.13,4.98,0.15,0,-2.06,256106,359.609M
Bushiroad Inc.,7803.T,670.0,673.0,-3.0,134.92,4.97,218700,21.143B
Postal Realty Trust Inc.,PSTL,14.53,14.65,-0.12,0,-0.1,74960,270.209M
Voltamp Transformers Limited,VOLTAMP.NS,2772.5,2692.6,79.9,30.26,91.62,16089,28.05B
ACNB Corporation,ACNB,39.81,40.5,-0.69,12.78,3.12,6326,346.151M
Corby Spirit and Wine Limited,CSW-A.TO,16.37,16.41,-0.04,15.03,1.09,3130,466.733M
Village Super Market Inc.,VLGEA,23.29,23.59,-0.3,12.0,1.94,15991,338.886M
Amplify Energy Corp.,AMPY,8.79,8.55,0.24,0,-12.34,784532,334.224M
Happinet Corporation,7552.T,2053.0,1993.0,60.0,20.38,100.76,180900,45.001B
Ooma Inc.,OOMA,13.62,13.58,0.04,0,-0.11,47533,324.156M
Alpine Immune Sciences Inc.,ALPN,7.35,6.7,0.65,0,-1.34,211090,214.768M
Comtech Telecommunications Corp.,CMTL,12.14,12.14,0.0,0,-3.36,79179,319.856M
Rimini Street Inc.,RMNI,3.81,3.87,-0.06,0,-0.194,163542,331.23M
Diana Shipping Inc.,DSX,3.9,3.89,0.01,0,-1.625,520607,356.986M
Gold Royalty Corp.,GROY,2.33,2.27,0.06,0,0,459603,312.052M
Northwest Pipe Company,NWPX,33.7,34.24,-0.54,16.16,2.09,33710,332.638M
The Lovesac Company,LOVE,22.01,21.37,0.64,22.93,0.96,343995,N/A
Velo3D Inc.,VLD,1.79,1.68,0.11,0,-4.066,1576008,327.864M
BRC Inc.,BRCC,6.11,6.21,-0.1,0,0,488845,N/A
City Office REIT Inc.,CIO,8.38,8.61,-0.23,0,-0.06,473497,364.986M
NL Industries Inc.,NL,6.81,6.77,0.04,22.7,0.3,18134,332.346M
Kaveri Seed Company Limited,KSCL.NS,516.75,517.7,-0.95,9.12,56.68,69573,30.194B
Astronics Corporation,ATRO,10.3,10.01,0.29,0,-3.76,85696,321.133M
Quotient Technology Inc.,QUOT,3.43,3.11,0.32,0,-0.723,1047358,323.866M
Home Bancorp Inc.,HBCP,40.03,40.67,-0.64,10.02,4.0,8103,341.196M
The First Bancorp Inc.,FNLC,29.94,30.28,-0.34,11.13,2.69,7115,329.229M
Vasta Platform Limited,VSTA,4.0,4.0,0.0,0,-0.246,48481,333.395M
Hallador Energy Company,HNRG,9.99,10.03,-0.04,0,-0.12,774984,305.82M
Autolus Therapeutics plc,AUTL,1.9,1.81,0.09,0,-1.4,447411,138.546M
