Company,Symbol,Marketprice,previousClosePrice,changeInPrice,pe_ratio,eps_ratio,Volume,MarketCap
Deutsche Pfandbriefbank AG,PBB.DE,7.27,7.33,-0.06,9.82,0.74,205351,981.755M
Altus Power Inc.,AMPS,6.52,6.38,0.14,0,0,826143,1.011B
Cinemark Holdings Inc.,CNK,8.66,8.65,0.01,0,-5.25,2532317,1.036B
Kiniksa Pharmaceuticals Ltd.,KNSA,14.98,15.36,-0.38,0,-2.61,446254,1.032B
Momentive Global Inc.,MNTV,7.0,6.92,0.08,0,-0.69,789192,1.043B
Paya Holdings Inc.,PAYA,7.87,7.7,0.17,0,-0.06,391104,1.039B
BELLUS Health Inc.,BLU,8.22,8.32,-0.1,0,-0.85,657472,850.844M
Arko Corp.,ARKO,8.66,8.54,0.12,35.06,0.25,216438,1.078B
Photronics Inc.,PLAB,16.83,16.91,-0.08,34.42,0.49,692230,1.025B
Gray Television Inc.,GTN,11.19,11.31,-0.12,3.12,3.58,605433,1.066B
Precision Drilling Corporation,PDS,76.7,77.1,-0.4,0,-9.03,26642,1.02B
Jindal Worldwide Limited,JINDWORLD.NS,427.6,428.8,-1.2,304.99,1.4,81672,85.742B
Hangzhou Shunwang Technology CoLtd,300113.SZ,10.41,10.04,0.37,74.36,0.14,11999674,7.228B
Laurentian Bank of Canada,LB.TO,32.3,32.66,-0.36,12.18,2.65,102459,1.408B
bpost NV/SA,13B.F,4.78,4.7,0.08,0,-0.1,40,960.278M
Modine Manufacturing Company,MOD,19.86,20.17,-0.31,0,-3.96,179597,1.03B
Nikola Corporation,NKLA,2.16,2.39,-0.23,0,-1.731,15294871,878.872M
Grendene S.A.,GRND3.SA,6.03,6.44,-0.41,13.43,0.45,3702300,5.439B
Morphic Holding Inc.,MORF,26.75,26.51,0.24,0,-1.58,151262,988.723M
MTY Food Group Inc.,MTY.TO,57.07,56.72,0.35,0,-1.73,11836,1.41B
Oatly Group AB,OTLY,1.74,1.75,-0.01,0,-0.326,5480097,1.03B
Metrovacesa S.A.,MVC.MC,6.37,6.44,-0.07,0,-1.08,31298,964.724M
Seabridge Gold Inc.,SA,12.58,12.26,0.32,0,-0.19,282495,984.321M
USANA Health Sciences Inc.,USNA,53.2,53.97,-0.77,8.74,6.09,57530,1.035B
National Western Life Group Inc.,NWLI,281.0,292.09,-11.09,11.07,25.39,12843,1.022B
Olo Inc.,OLO,6.25,6.18,0.07,0,-0.56,832158,948.162M
Cementir Holding N.V.,CEM.MI,6.14,6.22,-0.08,13.55,0.45,38051,954.893M
Hollysys Automation Technologies Ltd.,HOLI,16.43,16.3,0.13,14.72,1.12,207772,1.007B
Armada Hoffler Properties Inc.,AHH,11.5,11.54,-0.04,30.26,0.38,281275,707.312M
LeMaitre Vascular Inc.,LMAT,46.02,45.63,0.39,39.67,1.16,60414,1.005B
Verano Holdings Corp.,VRNOF,3.12,3.13,-0.01,5.32,0.586,643172,635.444M
Compass Inc.,COMP,2.33,2.2,0.13,0,-1.419,2504284,929.863M
Finolex Cables Limited,FINCABLES.NS,547.0,542.65,4.35,23.35,23.43,120261,83.658B
Dah Sing Banking Group Limited,2356.HK,5.6,5.6,0.0,3.52,1.59,166266,7.872B
Napco Security Technologies Inc.,NSSC,27.48,27.29,0.19,70.64,0.39,182167,1.009B
Caverion Oyj,CAV1V.HE,6.93,6.93,0.0,82.5,0.08,49792,945.377M
Equinox Gold Corp.,EQX,3.28,3.27,0.01,2.2,1.491,1872974,987.762M
Iovance Biotherapeutics Inc.,IOVA,6.39,6.27,0.12,0,-1.88,2583543,1.003B

Westrock Coffee Company LLC,WEST,13.36,13.4,-0.04,0,0,41973,N/A
Fastly Inc.,FSLY,8.19,8.15,0.04,0,-0.93,2452585,962.325M
Headwater Exploration Inc.,HWX.TO,5.92,5.73,0.19,123.33,0.05,294848,1.199B
Kalpataru Power Transmission Limited,KALPATPOWR.NS,558.9,549.8,9.1,16.22,34.47,450025,83.336B
MFA Financial Inc.,MFA,9.85,9.95,-0.1,0,-1.57,733517,4.343B
Prosegur Compañía de Seguridad S.A.,PSG.MC,1.773,1.771,0.0,2.95,0.601,303919,953.282M
Grupa Kety S.A.,KTY.WA,457.0,463.0,-6.0,11.1,41.18,25497,4.41B
Mahanagar Gas Limited,MGL.NS,838.25,837.75,0.5,14.44,58.04,225363,82.8B
AZZ Inc.,AZZ,40.2,40.06,0.14,26.45,1.52,93047,998.552M
Mullen Group Ltd.,MTL.TO,14.55,14.68,-0.13,19.85,0.73,72088,1.387B
Grenke AG,GLJ.F,19.52,18.94,0.58,11.69,1.67,320,914.717M
AGRANA Beteiligungs-Aktiengesellschaft,AGR.VI,14.95,14.9,0.05,15.07,0.99,11419,934.211M
AMERISAFE Inc.,AMSF,51.97,52.87,-0.9,10.61,4.9,53379,1.006B
Sterling Infrastructure Inc.,STRL,32.8,32.66,0.14,18.68,1.76,119419,944.46M
Fortress REIT Limited,FFA.JO,1051.0,1062.0,-11.0,0,-3.73,188412,1.224T
Coeur Mining Inc.,CDE,3.36,3.5,-0.14,20.49,0.164,5041338,863.365M
Atrion Corporation,ATRI,559.45,573.0,-13.55,32.08,17.44,8385,1.007B
Cross Country Healthcare Inc.,CCRN,26.57,26.54,0.03,0,-0.36,481769,1.01B
Apogee Enterprises Inc.,APOG,44.46,44.34,0.12,75.36,0.59,69477,1.126B
GungHo Online Entertainment Inc.,3765.T,2132.0,2142.0,-10.0,8.93,238.7,133300,138.909B
RITES Limited,RITES.NS,339.25,341.25,-2.0,19.69,17.23,498904,81.584B
Paymentus Holdings Inc.,PAY,8.01,7.88,0.13,205.38,0.04,266004,961.384M
Crinetics Pharmaceuticals Inc.,CRNX,18.3,18.44,-0.14,0,-2.42,260567,869.248M
La-Z-Boy Incorporated,LZB,22.82,23.06,-0.24,14.76,1.55,233866,1.002B
23andMe Holding Co.,ME,2.16,2.16,0.0,0,-1.212,2760297,996.551M
PT Astra Agro Lestari Tbk,AALI.JK,8025.0,8025.0,0.0,24.73,324.44,521800,15.446T
Fnac Darty SA,FNAC.PA,34.44,34.58,-0.14,702.86,0.05,12608,918.959M
REGENXBIO Inc.,RGNX,22.68,22.82,-0.14,0,-2.98,530990,970.005M
Italtile Limited,ITE.JO,1360.0,1365.0,-5.0,1354.58,1.0,71131,1.655T
Fate Therapeutics Inc.,FATE,10.09,10.0,0.09,0,-2.11,6499321,963.522M
PATRIZIA SE,P1Z.VI,10.42,10.36,0.06,24.93,0.42,0,927.136M
Energy Fuels Inc.,UUUU,6.21,6.22,-0.01,0,-0.23,1139452,970.387M
Kahoot! ASA,KAHOT.OL,19.43,19.64,-0.21,0,-0.75,1278334,9.457B
Waldencast plc,WALD,9.07,9.79,-0.72,0,0,104,391.359M
Transcontinental Inc.,TCL-A.TO,15.28,15.41,-0.13,8.7,1.76,105581,1.331B
Camtek Ltd.,CAMT,21.96,22.0,-0.04,28.23,0.78,75752,962.764M
InnovAge Holding Corp.,INNV,7.18,7.04,0.14,0,-0.16,32420,973.012M
AmRest Holdings SE,EAT.MC,4.16,4.16,0.0,0,-0.83,464,920.928M
B. Riley Financial Inc.,RILY,34.2,34.35,-0.15,1.68,20.35,645821,942.88M
Sumo Logic Inc.,SUMO,8.1,8.03,0.07,0,-1.04,814945,907.232M
3D Systems Corporation,DDD,7.4,7.28,0.12,0,-1.27,1314248,950.523M
MRC Global Inc.,MRC,11.58,11.6,-0.02,0,-3.77,459222,957.276M
Construcciones y Auxiliar de Ferrocarriles S.A.,CAF.MC,26.5,26.7,-0.2,16.22,1.63,32340,908.441M
Enanta Pharmaceuticals Inc.,ENTA,46.52,46.86,-0.34,0,-2.89,77209,945.51M
Varta AG,VAR1.F,22.28,22.75,-0.47,9.44,2.36,1940,900.596M
National Express Group PLC,NEX.L,130.0,130.6,-0.6,0,-57.9,601206,798.312M
Controladora Vuela Compañía de Aviación S.A.B. de C.V.,VLRS,8.36,8.38,-0.02,0,-1.65,668100,965.839M
OPKO Health Inc.,OPK,1.25,1.24,0.01,6.61,0.189,3055577,851.676M
KKR Real Estate Finance Trust Inc.,KREF,13.96,13.83,0.13,6.6,2.12,838147,849.095M
AST SpaceMobile Inc.,ASTS,4.82,4.33,0.49,0,-0.635,2616700,249.338M
Suburban Propane Partners L.P.,SPH,15.18,15.13,0.05,16.17,0.94,218469,955.789M
Cronos Group Inc.,CRON,2.54,2.54,0.0,0,-0.212,1598680,944.387M
Titan International Inc.,TWI,15.32,15.4,-0.08,0,-0.99,609952,955.654M
GB Group plc,GBG.L,314.8,323.4,-8.6,26.68,11.8,187403,790.727M
Cymbria Corporation,CYB.TO,57.0,56.51,0.49,0,0,3376,1.298B
Premier Financial Corp.,PFC,26.97,27.14,-0.17,7.66,3.52,169902,997.305M
Prosegur Cash S.A.,CASH.MC,0.598,0.605,-0.01,54.36,0.011,284779,900.205M
Banc of California Inc.,BANC,15.93,15.8,0.13,49.78,0.32,287113,998.132M
Multi Commodity Exchange of India Limited,MCX.NS,1554.2,1551.1,3.1,31.36,49.56,90717,79.262B
SiriusPoint Ltd.,SPNT,5.9,6.0,-0.1,2.94,2.01,264654,955.422M
Veeco Instruments Inc.,VECO,18.58,18.57,0.01,0,-0.17,197741,938.364M
Virgin Galactic Holdings Inc.,SPCE,3.48,3.42,0.06,0,-1.552,6229981,897.878M
Odontoprev S.A.,ODPV3.SA,9.03,9.15,-0.12,13.28,0.68,1537100,4.685B
Inter & Co Inc.,INTR,2.37,2.25,0.12,0,0,197144,N/A
ConnectOne Bancorp Inc.,CNOB,24.21,24.37,-0.16,9.8,2.47,77575,958.769M
New York Mortgage Trust Inc.,NYMT,2.56,2.6,-0.04,0,-0.889,3214394,970.972M
Camping World Holdings Inc.,CWH,22.32,22.17,0.15,7.22,3.09,809682,1.001B
Sweetgreen Inc.,SG,8.57,8.45,0.12,0,-5.39,1644294,916.981M
Tellurian Inc.,TELL,1.68,1.77,-0.09,0,-0.787,10784874,804.728M
Hamburger Hafen und Logistik Aktiengesellschaft,HHFA.F,11.84,12.0,-0.16,20.38,0.58,200,887.215M
U.S. Silica Holdings Inc.,SLCA,12.5,12.47,0.03,0,-0.85,553413,932.14M
Lemonade Inc.,LMND,13.68,13.84,-0.16,0,-3.41,1059785,843.284M
Biohaven Ltd.,BHVN,13.88,14.37,-0.49,0,-13.06,890250,909.158M
HUYA Inc.,HUYA,3.95,3.84,0.11,6.89,0.573,2441214,937.461M
Denison Mines Corp.,DNN,1.15,1.14,0.01,0,-0.021,5515247,928.466M
WalkMe Ltd.,WKME,11.18,10.31,0.87,0,-2.55,149802,924.05M
ProAssurance Corporation,PRA,17.47,17.44,0.03,0,-3.26,227492,943.093M
HireRight Holdings Corporation,HRT,11.86,11.74,0.12,0,-0.48,168801,941.571M
Centerspace,CSR,58.67,58.91,-0.24,0,-0.3,39872,837.837M
Pliant Therapeutics Inc.,PLRX,19.33,18.73,0.6,0,-2.57,562659,696.634M
Alamar Foods Company,6014.SR,138.8,138.8,0.0,0,0,7995,N/A
Omega Flex Inc.,OFLX,93.32,93.54,-0.22,47.32,1.97,15046,942M
Van Lanschot Kempen NV,VLK.AS,21.9,21.9,0.0,20.88,1.05,169126,890.712M
Core Laboratories N.V.,CLB,20.27,19.91,0.36,47.92,0.42,246211,938.29M
Benchmark Electronics Inc.,BHE,26.69,26.62,0.07,53.59,0.5,147778,940.137M
Perdoceo Education Corporation,PRDO,13.9,14.15,-0.25,8.86,1.57,468085,974.466M
Pushpay Holdings Limited,PPH.NZ,1.28,1.28,0.0,44.14,0.029,330557,1.465B
Applus Services S.A.,APPS.MC,6.41,6.41,0.0,0,-1.11,349448,916.447M
Columbus McKinnon Corporation,CMCO,32.47,32.68,-0.21,89.2,0.36,143603,923.447M
Barloworld Limited,BAW.JO,8475.0,8452.0,23.0,0,-12.36,210221,1.68T
Tianyu Digital Technology (Dalian) Group Co.Ltd.,002354.SZ,3.91,3.77,0.14,29.85,0.131,49228368,6.5B
Steel Partners Holdings L.P.,SPLP,42.8,42.7,0.1,25.97,1.65,846,904.758M
LendingClub Corporation,LC,8.8,8.62,0.18,0,-2.03,1377892,878.881M
Innoviva Inc.,INVA,13.25,13.28,-0.03,5.84,2.27,415717,920.772M
S IMMO AG,T1L.F,12.12,12.06,0.06,15.42,0.79,1000,863.658M
Associated Capital Group Inc.,AC,41.99,41.98,0.01,49.93,0.84,1470,926.22M
Astec Industries Inc.,ASTE,40.66,41.11,-0.45,19.83,2.05,42728,925.613M
Kiwi Property Group Limited,KWIPF,0.57,0.57,0.0,0,-0.077,16525,947.437M
Geron Corporation,GERN,2.42,2.1,0.32,0,-0.279,7406432,779.117M
Sun Country Airlines Holdings Inc.,SNCY,15.86,15.54,0.32,12.4,1.28,320514,912.77M
Matthews International Corporation,MATW,30.44,30.65,-0.21,74.24,0.41,58300,957.95M
NÜRNBERGER Beteiligungs-AG,NBG6.F,74.5,74.5,0.0,11.09,6.72,140,863.708M
Provention Bio Inc.,PRVB,10.57,10.4,0.17,0,-1.88,1385151,669.871M
Dril-Quip Inc.,DRQ,27.17,27.13,0.04,0,-1.29,211233,961.435M
Customers Bancorp Inc.,CUBI,28.34,28.68,-0.34,5.96,4.75,169226,918.567M
Kingsoft Cloud Holdings Limited,KC,3.83,3.82,0.01,0,-0.853,1062130,925.592M
National Research Corporation,NRC,37.3,37.12,0.18,25.72,1.45,33289,949.248M
Norway Royal Salmon AS,NRS.OL,152.2,152.2,0.0,81.83,1.86,361564,6.602B
Morguard Corporation,MRC.TO,112.46,114.61,-2.15,0,-8.83,768,1.248B
Cars.com Inc.,CARS,13.77,13.8,-0.03,0,-12.15,395347,951.535M
Bally's Corporation,BALY,19.38,18.76,0.62,13.0,1.49,268777,1.054B
Dole plc,DOLE,9.65,9.8,-0.15,160.83,0.06,252725,915.569M
Dundee Precious Metals Inc.,DPM.TO,6.51,6.57,-0.06,4.97,1.31,138627,1.246B
