Company,Ticker,Market Cap,Price,Daily Change (%),Country
Apple,AAPL,2061000000000.0,129.61,2.83,USA
Saudi Aramco,2222.SR,1881000000000.0,8.55,0.31,Saudi Arabia
Microsoft,MSFT,1796000000000.0,241.01,2.76,USA
Alphabet (Google),GOOG,1148000000000.0,88.95,2.88,USA
Amazon,AMZN,858770000000.0,84.18,2.88,USA
Berkshire Hathaway ,BRK-B,681890000000.0,309.06,1.86,USA
UnitedHealth,UNH,495090000000.0,529.88,0.27,USA
Johnson & Johnson,JNJ,464220000000.0,177.56,0.51,USA
Exxon Mobil,XOM,449710000000.0,109.2,0.76,USA
Visa,V,440590000000.0,208.06,1.5,USA
Tencent,TCEHY,421540000000.0,43.29,5.41,China
TSMC,TSM,395580000000.0,76.0,4.02,Taiwan
JPMorgan Chase,JPM,390760000000.0,133.22,0.57,USA
Tesla,TSLA,384670000000.0,121.82,8.08,USA
Walmart,WMT,383350000000.0,142.15,0.61,USA
LVMH,MC.PA,370450000000.0,739.3,0.53,France
NVIDIA,NVDA,363900000000.0,146.03,4.04,USA
Procter & Gamble,PG,361590000000.0,152.59,0.41,USA
Eli Lilly,LLY,348730000000.0,367.02,0.49,USA
Chevron,CVX,344800000000.0,178.32,0.76,USA
Mastercard,MA,334780000000.0,348.21,1.83,USA
Home Depot,HD,326550000000.0,320.41,1.48,USA
Meta Platforms (Facebook),META,319670000000.0,120.26,4.01,USA
Nestlé,NESN.SW,318830000000.0,115.94,0.96,Switzerland
Kweichow Moutai,600519.SS,311050000000.0,247.62,0.47,China
Novo Nordisk,NVO,304180000000.0,135.2,1.24,Denmark
Samsung,005930.KS,293000000000.0,43.59,2.3,S. Korea
Pfizer,PFE,288130000000.0,51.33,1.04,USA
AbbVie,ABBV,287480000000.0,162.56,0.2,USA
Merck,MRK,280970000000.0,110.82,0.23,USA
Coca-Cola,KO,276550000000.0,63.95,0.6,USA
Bank of America ,BAC,265860000000.0,33.14,1.13,USA
Roche,ROG.SW,260769999999.99997,315.69,0.31,Switzerland
Pepsico,PEP,250710000000.0,181.98,0.13,USA
Alibaba,BABA,243380000000.0,89.13,2.21,China
Broadcom,AVGO,233100000000.0,557.81,2.37,USA
ASML,ASML,227030000000.0,551.47,3.73,Netherlands
Oracle,ORCL,219470000000.0,81.4,1.33,USA
Thermo Fisher Scientific,TMO,218450000000.0,557.01,2.5,USA
ICBC,1398.HK,212870000000.0,0.52,0.25,China
AstraZeneca,AZN,211310000000.0,68.1,0.8,UK
Reliance Industries,RELIANCE.NS,209590000000.0,30.98,0.78,India
Costco,COST,202620000000.0,456.53,0.78,USA
Shell,SHEL,198460000000.0,56.67,0.19,UK
Novartis,NVS,197090000000.0,91.6,0.84,Switzerland
Cisco,CSCO,195130000000.0,47.5,0.91,USA
McDonald,MCD,194770000000.0,265.93,0.31,USA
Danaher,DHR,194250000000.0,266.85,3.0,USA
Abbott Laboratories,ABT,192330000000.0,110.31,2.3,USA
L'Oréal,OR.PA,192260000000.0,359.25,0.61,France
Toyota,TM,191050000000.0,137.41,2.45,Japan
Nike,NKE,183600000000.0,117.35,2.06,USA
T-Mobile US,TMUS,173430000000.0,139.4,0.3,USA
Accenture,ACN,169140000000.0,268.38,2.0,Ireland
Nextera Energy,NEE,167080000000.0,84.08,1.11,USA
Verizon,VZ,164880000000.0,39.26,1.16,USA
Hermès,RMS.PA,164430000000.0,1562.0,1.41,France
Linde,LIN,162420000000.0,329.75,1.18,UK
Walt Disney,DIS,158980000000.0,87.18,3.58,USA
China Construction Bank,601939.SS,157960000000.0,0.81,0.72,China
BHP Group,BHP,157490000000.0,62.24,0.81,Australia
Wells Fargo,WFC,157480000000.0,41.33,0.51,USA
Adobe,ADBE,156940000000.0,337.58,2.82,USA
Philip Morris,PM,156860000000.0,101.19,0.25,USA
TotalEnergies,TTE,156740000000.0,62.16,0.63,France
Charles Schwab,SCHW,154300000000.0,82.66,0.38,USA
Bristol-Myers Squibb,BMY,153290000000.0,72.1,0.15,USA
United Parcel Service,UPS,152000000000.0,175.75,1.23,USA
Comcast,CMCSA,151200000000.0,35.05,1.24,USA
Texas Instruments,TXN,149760000000.0,165.02,2.38,USA
Raytheon Technologies,RTX,147490000000.0,100.33,1.2,USA
Tata Consultancy Services,TCS.NS,145350000000.0,39.72,0.55,India
ConocoPhillips,COP,145030000000.0,116.39,0.94,USA
China Mobile,0941.HK,145010000000.0,6.64,1.17,China
Honeywell,HON,144380000000.0,214.75,1.21,USA
Morgan Stanley,MS,144060000000.0,85.24,0.92,USA
Agricultural Bank of China,601288.SS,143780000000.0,0.42,1.04,China
Amgen,AMGN,140410000000.0,263.16,0.67,USA
Prosus,PRX.AS,138940000000.0,69.31,1.75,Netherlands
Meituan,3690.HK,138740000000.0,22.42,4.95,China
CATL,300750.SZ,137770000000.0,56.41,0.14,China
CM Bank,3968.HK,137199999999.99998,5.6,1.04,China
Dior,CDI.PA,132639999999.99998,735.25,0.65,France
Salesforce,CRM,132530000000.0,132.54,3.17,USA
AT&T,T,131490000000.00002,18.45,1.26,USA
Royal Bank Of Canada,RY,131410000000.0,95.03,1.38,Canada
AIA,1299.HK,130740000000.00002,11.14,2.0,Hong Kong
Netflix,NFLX,129550000000.00002,291.12,5.14,USA
Union Pacific Corporation,UNP,128620000000.0,209.22,1.14,USA
Unilever,UL,128120000000.0,50.6,0.3,UK
Deere & Company,DE,127830000000.0,428.64,0.08,USA
Lockheed Martin,LMT,127640000000.0,487.05,0.79,USA
HDFC Bank,HDB,127110000000.0,68.38,1.23,India
IBM,IBM,126430000000.0,141.06,0.74,USA
Bank of China,601988.SS,125910000000.0,0.45,0.32,China
Caterpillar,CAT,125000000000.0,240.2,0.34,USA
PetroChina,601857.SS,124980000000.0,0.71,0.2,China
HSBC,HSBC,124640000000.0,31.21,0.58,UK
SAP,SAP,123730000000.0,104.11,2.26,Germany
China Life Insurance,601628.SS,123330000000.0,5.32,1.09,China
QUALCOMM,QCOM,123130000000.0,109.84,2.68,USA
Elevance Health,ELV,123090000000.0,512.88,0.04,USA
CVS Health,CVS,122790000000.0,93.45,0.74,USA
Ping An Insurance,601318.SS,122650000000.0,6.74,2.58,China
Sanofi,SNY,122520000000.0,48.55,1.57,France
Lowe's Companies,LOW,122300000000.0,202.26,1.1,USA
Anheuser-Busch Inbev,BUD,120760000000.0,60.38,0.7,Belgium
Toronto Dominion Bank,TD,119050000000.0,65.39,1.66,Canada
Commonwealth Bank,CBA.AX,117740000000.0,69.74,0.51,Australia
Goldman Sachs,GS,116290000000.0,343.43,0.75,USA
Rio Tinto,RIO,115220000000.0,71.09,0.65,UK
Starbucks,SBUX,114510000000.0,99.77,1.19,USA
Equinor,EQNR,113360000000.0,36.18,0.28,Norway
Boeing,BA,112580000000.0,188.91,0.28,USA
S&P Global,SPGI,110710000000.0,339.81,3.1,USA
American Express,AXP,110080000000.0,147.32,2.3,USA
Intuit,INTU,109800000000.0,390.87,3.82,USA
Siemens,SIE.DE,109430000000.0,138.09,0.8,Germany
Intel,INTC,108160000000.0,26.21,2.62,USA
Lindt,LISN.SW,107770000000.0,103482.0,0.52,Switzerland
BlackRock,BLK,107560000000.0,716.15,2.26,USA
Gilead Sciences,GILD,106930000000.0,85.26,0.82,USA
Jingdong Mall,JD,106870000000.0,57.09,1.67,China
Prologis,PLD,105200000000.0,113.97,3.19,USA
BP,BP,105000000000.0,34.7,0.35,UK
AMD,AMD,104510000000.0,64.82,3.6,USA
Pinduoduo,PDD,104190000000.0,82.41,1.22,China
Medtronic,MDT,103500000000.0,77.81,1.98,Ireland
Diageo,DEO,101800000000.0,179.43,0.7,UK
Cigna,CI,101110000000.0,330.72,0.34,USA
Wuliangye Yibin,000858.SZ,100560000000.0,25.91,1.09,China
American Tower,AMT,100440000000.0,215.74,2.68,USA
Deutsche Telekom,DTE.DE,100310000000.0,20.18,0.92,Germany
Automatic Data Processing,ADP,99810000000.0,240.62,1.16,USA
NTT (Nippon Telegraph & Telephone),NPPXF,99030000000.0,28.3,0.89,Japan
Sony,SONY,96530000000.0,76.69,2.46,Japan
Intuitive Surgical,ISRG,94630000000.0,267.79,2.35,USA
CSL,CSL.AX,94310000000.0,195.59,0.72,Australia
BYD,002594.SZ,94200000000.0,36.84,0.87,China
Airbus,AIR.PA,93550000000.0,118.66,0.73,Netherlands
Keyence,6861.T,93250000000.0,384.5,0.33,Japan
Stryker Corporation,SYK,92900000000.0,245.5,1.91,USA
Chubb,CB,92170000000.0,222.08,1.03,Switzerland
Porsche,P911.DE,92110000000.0,101.11,0.68,Germany
TJX Companies,TJX,91670000000.0,79.34,0.83,USA
General Electric,GE,91510000000.0,83.75,2.17,USA
Mondelez,MDLZ,91450000000.0,66.97,0.79,USA
British American Tobacco,BTI,89590000000.0,39.98,0.45,UK
Estee Lauder,EL,89170000000.0,249.93,1.52,USA
Citigroup,C,87460000000.0,45.16,1.21,USA
Allianz,ALV.DE,87020000000.0,215.77,0.74,Germany
Glencore,GLCNF,86850000000.0,6.78,1.27,Switzerland
Merck KGaA,MRK.DE,84740000000.0,194.91,0.22,Germany
Mitsubishi UFJ Financial,MUFG,84630000000.0,6.58,1.2,Japan
Inditex,IDEXY,84320000000.0,13.46,2.05,Spain
Analog Devices,ADI,83510000000.0,163.98,2.31,USA
Northrop Grumman,NOC,83420000000.0,542.0,0.29,USA
Marsh & McLennan Companies,MMC,82720000000.0,166.78,1.32,USA
Altria Group,MO,82200000000.0,45.87,0.04,USA
Canadian National Railway,CNI,82160000000.0,120.43,0.96,Canada
Applied Materials,AMAT,81990000000.0,97.14,3.09,USA
EssilorLuxottica,EL.PA,81120000000.0,182.05,0.79,France
PayPal,PYPL,80440000000.0,70.56,4.46,USA
LG Energy Solution,373220.KS,80330000000.0,343.32,0.23,S. Korea
Al Rajhi Bank,1120.SR,80070000000.0,20.02,1.05,Saudi Arabia
Duke Energy,DUK,79960000000.0,103.84,0.91,USA
Enbridge,ENB,79510000000.0,39.27,1.19,Canada
Vale,VALE,79490000000.0,16.88,0.24,Brazil
Schneider Electric,SU.PA,79480000000.0,141.46,0.7,France
ServiceNow,NOW,78740000000.0,389.85,3.67,USA
Southern Company,SO,78590000000.0,72.19,0.75,USA
Regeneron Pharmaceuticals,REGN,78540000000.0,721.29,1.16,USA
Infosys,INFY,77720000000.0,18.24,1.56,India
Booking Holdings (Booking.com),BKNG,77710000000.0,2004.0,2.28,USA
ICICI Bank,IBN,77080000000.0,22.1,1.19,India
Progressive,PGR,76370000000.0,130.56,0.65,USA
EOG Resources,EOG,75550000000.0,128.63,0.97,USA
Air Liquide,AI.PA,75050000000.0,142.8,0.65,France
Schlumberger,SLB,75020000000.0,52.91,0.59,USA
China Shenhua Energy,601088.SS,75020000000.0,3.96,0.18,China
Compagnie Financière Richemont,CFR.SW,74360000000.0,131.06,0.29,Switzerland
Vertex Pharmaceuticals,VRTX,74200000000.0,289.08,1.16,USA
Gazprom,GAZP.ME,73260000000.0,3.1,0.04,Russia
Becton Dickinson,BDX,73020000000.0,256.9,1.49,USA
Hindustan Unilever,HINDUNILVR.NS,72930000000.0,31.04,0.0,India
GlaxoSmithKline,GSK,72320000000.0,35.13,1.01,UK
Sinopec,600028.SS,71990000000.0,0.63,0.46,China
Volkswagen,VOW3.DE,71700000000.0,123.59,0.28,Germany
Iberdrola,IBE.MC,71590000000.0,11.71,0.36,Spain
SABIC,2010.SR,71390000000.0,23.8,0.11,Saudi Arabia
Zurich Insurance Group,ZURN.SW,71380000000.0,481.4,0.71,Switzerland
BNP Paribas,BNP.PA,70950000000.0,57.26,0.46,France
Mercedes-Benz,MBG.DE,70420000000.0,65.83,0.5,Germany
Canadian Pacific Railway,CP,70140000000.0,75.41,1.45,Canada
Petrobras,PBR,69650000000.0,10.68,1.57,Brazil
Air Products and Chemicals,APD,69120000000.0,311.41,0.57,USA
Zoetis,ZTS,69040000000.0,148.15,3.0,USA
Moderna,MRNA,68709999999.99999,178.86,1.34,USA
China Yangtze Power,600900.SS,68470000000.0,3.01,0.96,China
General Dynamics,GD,68420000000.0,249.23,0.92,USA
Target,TGT,68290000000.00001,148.37,1.76,USA
Illinois Tool Works ,ITW,68180000000.00001,221.97,1.3,USA
HCA Healthcare,HCA,67950000000.0,240.38,1.68,USA
Bank Central Asia,BBCA.JK,67129999999.99999,0.54,0.29,Indonesia
U.S. Bancorp,USB,66670000000.0,43.57,1.63,USA
3M,MMM,66640000000.0,120.57,1.93,USA
Boston Scientific,BSX,66379999999.99999,46.35,1.25,USA
State Bank of India,SBIN.NS,66300000000.0,7.43,0.48,India
Colgate-Palmolive,CL,66290000000.00001,79.37,0.7,USA
AXA,CS.PA,66050000000.0,28.02,0.55,France
CSX Corporation,CSX,65670000000.0,31.24,1.3,USA
Waste Management,WM,65209999999.99999,158.87,0.95,USA
DBS Group,D05.SI,65050000000.0,25.28,0.29,Singapore
Humana,HUM,64970000000.0,513.2,0.26,USA
KDDI,9433.T,64709999999.99999,29.78,0.35,Japan
China Tourism Group Duty Free,601888.SS,64620000000.00001,30.97,0.06,China
Fiserv,FISV,64450000000.0,101.5,1.59,USA
National Australia Bank,NAB.AX,64410000000.0,20.43,0.47,Australia
Bank of Montreal,BMO,64129999999.99999,91.19,1.74,Canada
CNOOC,0883.HK,63680000000.0,1.28,0.4,China
PNC Financial Services,PNC,63650000000.0,157.83,1.26,USA
Nongfu Spring,9633.HK,63640000000.0,5.66,0.56,China
Walmex,WMMVF,63120000000.0,3.54,1.39,Mexico
Aon,AON,62750000000.0,303.38,1.29,UK
Eaton,ETN,62570000000.0,157.35,1.03,Ireland
Sherwin-Williams,SHW,62530000000.0,241.32,1.62,USA
Kering,KER.PA,62510000000.0,511.47,0.68,France
Canadian Natural Resources,CNQ,62100000000.0,55.77,2.5,Canada
SoftBank,9984.T,61710000000.0,42.2,0.46,Japan
Equinix,EQIX,61570000000.0,665.37,1.97,USA
Fast Retailing,9983.T,61530000000.0,602.17,1.94,Japan
Daiichi Sankyō,4568.T,60910000000.0,31.78,0.64,Japan
CME Group,CME,60850000000.0,169.16,0.73,USA
Postal Savings Bank of China,601658.SS,60630000000.0,0.66,1.32,China
Activision Blizzard,ATVI,60070000000.0,76.76,0.93,USA
UBS,UBS,59970000000.0,18.8,1.4,Switzerland
Crown Castle,CCI,59930000000.0,138.41,2.63,USA
The Saudi National Bank,1180.SR,59660000000.0,13.44,1.2,Saudi Arabia
Verbund AG,OEWA.F,58870000000.0,84.36,0.44,Austria
BMW,BMW.DE,58690000000.0,89.13,0.37,Germany
Scotiabank,BNS,58620000000.0,49.21,2.31,Canada
Bharti Airtel,BHARTIARTL.NS,58510000000.0,9.83,0.92,India
Housing Development Finance Corporation,HDFC.NS,58410000000.0,31.99,1.06,India
America Movil,AMX,58370000000.0,18.43,0.49,Mexico
Intercontinental Exchange,ICE,58140000000.0,104.1,1.79,USA
ABB,ABB,57810000000.0,30.88,2.02,Switzerland
Atlas Copco,ATCO-B.ST,57690000000.0,10.88,0.37,Sweden
Norfolk Southern,NSC,57460000000.0,248.21,0.98,USA
Lam Research,LRCX,57360000000.0,420.61,4.42,USA
Truist Financial,TFC,57310000000.0,43.2,1.53,USA
MetLife,MET,57000000000.0,72.66,1.18,USA
Investor AB,IVS.F,56820000000.0,18.61,0.96,Sweden
Vinci,DG.PA,56790000000.0,100.27,0.31,France
Occidental Petroleum,OXY,56600000000.0,62.28,0.32,USA
Siemens Healthineers,SHL.DE,56310000000.0,50.17,0.38,Germany
Emerson,EMR,56110000000.0,96.36,1.15,USA
Westpac Banking,WBC.AX,55480000000.0,15.87,0.34,Australia
Enel,ENEL.MI,55460000000.0,5.4,0.73,Italy
Dollar General,DG,55440000000.0,248.01,1.22,USA
Micron Technology,MU,55260000000.0,50.65,3.11,USA
Thomson Reuters,TRI,55160000000.0,114.3,1.72,Canada
Mindray,300760.SZ,54920000000.0,45.3,0.73,China
Hong Kong Exchanges & Clearing,0388.HK,54850000000.0,43.27,0.82,Hong Kong
Freeport-McMoRan,FCX,54750000000.0,38.31,1.14,USA
Heineken,HEIA.AS,54490000000.0,94.38,0.61,Netherlands
Marathon Petroleum,MPC,54440000000.0,116.18,1.45,USA
Sumitomo Mitsui Financial Group,SMFG,54330000000.0,7.92,0.88,Japan
Blackstone Group,BX,53960000000.0,74.75,3.59,USA
Airbnb,ABNB,53960000000.0,85.23,3.32,USA
Pioneer Natural Resources,PXD,53850000000.0,226.68,1.02,USA
KLA,KLAC,53830000000.0,379.86,3.29,USA
RELX,RELX,53630000000.0,28.01,0.94,UK
United Heavy Machinery,OMZZP.ME,53580000000.0,63.3,1.34,Russia
Monster Beverage,MNST,53260000000.0,102.02,0.69,USA
Safran,SAF.PA,53200000000.0,124.75,0.95,France
McKesson,MCK,53180000000.0,375.12,0.63,USA
Adani Enterprises,ADANIENT.NS,53140000000.0,46.62,1.22,India
China Telecom,0728.HK,52900000000.0,0.39,1.66,China
Foshan Haitian Flavouring and Food,603288.SS,52880000000.0,11.41,0.98,China
O'Reilly Automotive,ORLY,52790000000.0,843.66,0.11,USA
Charter Communications,CHTR,52760000000.0,338.94,1.99,USA
Enterprise Products,EPD,52690000000.0,24.22,1.94,USA
Anglo American,AAL.L,52530000000.0,39.28,0.38,UK
KKR & Co.,KKR,52450000000.0,46.74,3.41,USA
Industrial Bank,601166.SS,52390000000.0,2.52,0.86,China
Life Insurance Corporation of India (LIC),LICI.NS,52300000000.0,8.27,0.12,India
Rosneft,ROSN.ME,52210000000.0,5.5,3.77,Russia
Midea,000333.SZ,51960000000.0,7.43,0.14,China
Vmware,VMW,51900000000.0,122.01,1.51,USA
Moody's,MCO,51830000000.0,282.93,3.63,USA
Bayer,BAYZF,51810000000.0,52.55,2.24,Germany
Dominion Energy,D,51360000000.0,61.64,0.29,USA
ENI,E,51250000000.0,28.89,0.94,Italy
Archer Daniels Midland (ADM),ADM,51150000000.0,93.12,0.53,USA
Santander,SAN,50830000000.0,2.98,1.71,Spain
Adani Total Gas,ATGL.NS,50750000000.0,46.13,0.62,India
Keurig Dr Pepper,KDP,50740000000.0,35.83,0.17,USA
Pernod Ricard,RI.PA,50600000000.0,197.31,0.72,France
Recruit,6098.T,50090000000.0,31.23,1.56,Japan
ITC,ITC.NS,49990000000.0,4.03,0.63,India
Kraft Heinz,KHC,49830000000.0,40.68,0.59,USA
EDF (Electricité de France),EDF.PA,49790000000.0,12.81,0.04,France
Public Storage,PSA,49760000000.0,282.58,1.65,USA
General Mills,GIS,49750000000.0,84.38,0.45,USA
Uber,UBER,49680000000.0,24.91,1.3,USA
Reckitt Benckiser,RKT.L,49630000000.0,69.35,0.38,UK
American Electric Power,AEP,49330000000.0,96.01,0.68,USA
NetEase,NTES,49240000000.0,73.15,2.07,China
Phillips 66,PSX,49200000000.0,104.11,1.92,USA
Shin-Etsu Chemical,4063.T,49070000000.0,121.32,0.22,Japan
Synopsys,SNPS,49070000000.0,321.98,2.12,USA
Sempra Energy,SRE,48990000000.0,155.88,0.28,USA
Takeda Pharmaceutical,TAK,48770000000.0,15.62,1.43,Japan
Valero Energy,VLO,48690000000.0,126.32,0.77,USA
Saudi Telecom Company,7010.SR,48640000000.0,9.74,0.27,Saudi Arabia
Bajaj Finance,BAJFINANCE.NS,48600000000.0,80.14,1.84,India
ANZ Bank,ANZ.AX,48400000000.0,16.17,0.0,Australia
Nintendo,7974.T,48320000000.0,41.37,1.36,Japan
The Hershey Company,HSY,47830000000.0,233.25,0.16,USA
General Motors,GM,47830000000.0,33.67,3.5,USA
Dassault Systèmes,DSY.PA,47820000000.0,36.14,0.5,France
Southern Copper,SCCO,47760000000.0,61.79,1.2,USA
London Stock Exchange,LS4C.F,47670000000.0,87.5,0.0,UK
Bank of Communications,601328.SS,47350000000.0,0.68,0.64,China
American International Group,AIG,47270000000.0,63.63,1.18,USA
Sberbank,SBER.ME,46990000000.0,2.09,0.16,Russia
Oriental Land,4661.T,46920000000.0,143.27,0.37,Japan
Hitachi,6501.T,46920000000.0,50.03,0.76,Japan
Hikvision,002415.SZ,46890000000.0,4.97,1.26,China
Marriott International,MAR,46830000000.0,147.97,1.63,USA
Mitsubishi Corporation,8058.T,46760000000.0,32.03,0.05,Japan
Novatek,NVTK.ME,46650000000.0,15.54,0.5,Russia
Edwards Lifesciences,EW,46490000000.0,75.21,2.87,USA
Cintas,CTAS,46420000000.0,456.95,1.31,USA
Ford,F,46390000000.0,11.54,5.39,USA
Roper Technologies,ROP,46330000000.0,436.87,2.51,USA
Kimberly-Clark,KMB,46310000000.0,137.24,0.53,USA
Centene,CNC,46270000000.0,81.72,0.17,USA
AutoZone,AZO,46240000000.0,2464.0,0.11,USA
Woodside Energy,WDS,46220000000.0,23.93,1.68,Australia
LONGi Green Energy Technology,601012.SS,46130000000.0,6.06,0.84,China
Stellantis,STLA,46070000000.0,14.34,3.54,Netherlands
Samsung Biologics,207940.KS,46060000000.0,647.22,1.08,S. Korea
Deutsche Post,DPW.DE,45910000000.0,37.7,0.49,Germany
Snowflake,SNOW,45780000000.0,142.38,2.86,USA
Itaú Unibanco,ITUB,45710000000.0,4.72,0.63,Brazil
ING,ING,45640000000.0,12.26,0.91,Netherlands
BASF,BAS.DE,45610000000.0,49.66,0.47,Germany
Amphenol,APH,45590000000.0,76.62,2.31,USA
Itōchū Shōji,8001.T,45470000000.0,31.0,0.62,Japan
Munich RE (Münchener Rück),MUV2.DE,45430000000.0,325.05,0.42,Germany
Tokyo Electron,8035.T,45280000000.0,290.73,0.59,Japan
Alimentation Couche-Tard,ATD.TO,45220000000.0,44.85,1.69,Canada
Bank Rakyat Indonesia,BYRA.F,45190000000.0,0.3,0.0,Indonesia
Foxconn (Hon Hai Precision Industry),2317.TW,44990000000.0,3.25,0.2,Taiwan
Aflac,AFL,44810000000.0,72.08,0.85,USA
Agilent Technologies,A,44730000000.0,151.09,2.03,USA
Mitsui Bussan,8031.T,44690000000.0,28.81,0.44,Japan
Shopify,SHOP,44650000000.0,35.1,7.54,Canada
Bayan Resources,BYAN.JK,44580000000.0,1.34,1.33,Indonesia
National Grid,NGG,44460000000.0,60.74,1.35,UK
Cadence Design Systems,CDNS,44410000000.0,161.93,2.27,USA
The Travelers Companies,TRV,44390000000.0,189.44,0.7,USA
FedEx,FDX,44300000000.0,175.55,1.44,USA
Johnson Controls,JCI,44260000000.0,64.46,1.96,Ireland
Daikin,6367.T,44200000000.0,151.05,0.98,Japan
DexCom,DXCM,43980000000.0,112.07,2.1,USA
Universal Music Group,UMG.AS,43970000000.0,24.26,0.63,Netherlands
Kotak Mahindra Bank,KOTAKBANK.NS,43960000000.0,22.14,0.71,India
Simon Property Group,SPG,43900000000.0,117.32,1.96,USA
Macquarie,MQG.AX,43860000000.0,113.48,0.58,Australia
Adyen,ADYEN.AS,43800000000.0,1402.0,0.42,Netherlands
Ambev,ABEV,43780000000.0,2.75,0.0,Brazil
MercadoLibre,MELI,43560000000.0,866.28,3.18,Argentina
Hess,HES,43420000000.0,140.86,1.6,USA
Constellation Brands,STZ,43310000000.0,234.8,1.26,USA
Motorola Solutions,MSI,43270000000.0,258.81,1.97,USA
Workday,WDAY,43120000000.0,167.79,2.94,USA
Fortescue,FMG.AX,42920000000.0,13.94,0.73,Australia
Exelon Corporation,EXC,42860000000.0,43.13,0.44,USA
Intesa Sanpaolo,ISP.MI,42820000000.0,2.23,0.66,Italy
Suncor Energy,SU,42550000000.0,31.38,0.35,Canada
Tokio Marine,8766.T,42450000000.0,21.14,0.05,Japan
Palo Alto Networks,PANW,42390000000.0,140.2,2.09,USA
Maaden,1211.SR,42390000000.0,17.22,1.57,Saudi Arabia
Budweiser APAC,1876.HK,42380000000.0,3.15,1.8,Hong Kong
Corteva,CTVA,42140000000.0,58.98,0.6,USA
Ecolab,ECL,42070000000.0,147.71,2.72,USA
Paychex,PAYX,41970000000.0,116.46,1.77,USA
Wanhua Chemical,600309.SS,41700000000.0,13.28,0.28,China
Chugai Pharmaceutical,4519.T,41410000000.0,25.18,1.0,Japan
Baidu,BIDU,41370000000.0,115.1,3.14,China
Republic Services,RSG,41310000000.0,130.75,1.04,USA
Compass Group,CPG.L,41180000000.0,23.44,0.08,UK
NXP Semiconductors,NXPI,40970000000.0,158.12,4.23,Netherlands
OCBC Bank,O39.SI,40800000000.0,9.08,0.0,Singapore
Kinder Morgan,KMI,40790000000.0,18.15,1.23,USA
SK Hynix,000660.KS,40650000000.0,59.12,1.32,S. Korea
Autodesk,ADSK,40590000000.0,188.12,3.42,USA
S.F. Express,002352.SZ,40540000000.0,8.28,1.49,China
BCE,BCE,40490000000.0,44.12,1.68,Canada
lululemon athletica,LULU,40390000000.0,316.82,2.54,Canada
Fidelity National Information Services,FIS,40290000000.0,67.9,2.03,USA
Nornickel,GMKN.ME,40200000000.0,261.66,1.03,Russia
Williams Companies,WMB,40160000000.0,32.97,0.76,USA
Realty Income,O,40150000000.0,64.03,1.27,USA
Banco Santander Brasil,BSBR,40140000000.0,5.39,0.55,Brazil
CITIC Securities,600030.SS,40120000000.0,2.85,0.66,China
Arthur J. Gallagher & Co.,AJG,40090000000.0,190.17,1.18,USA
Lukoil,LKOH.ME,39920000000.0,61.21,1.14,Russia
Devon Energy,DVN,39900000000.0,61.04,0.25,USA
Ross Stores,ROST,39890000000.0,115.86,1.37,USA
TC Energy,TRP,39890000000.0,39.65,0.79,Canada
Ferrari,RACE,39790000000.0,216.59,3.02,Italy
Biogen,BIIB,39740000000.0,276.0,0.72,USA
Infineon,IFX.DE,39720000000.0,30.5,0.37,Germany
Sun Hung Kai Properties,0016.HK,39710000000.0,13.7,1.91,Hong Kong
Maersk,DP4A.F,39430000000.0,2232.0,1.13,Denmark
Nordea Bank,NDA-FI.HE,39370000000.0,10.79,0.2,Finland
L3Harris Technologies,LHX,39340000000.0,206.66,1.03,USA
Trane Technologies,TT,39250000000.0,170.43,1.82,Ireland
Kuaishou Technology,1024.HK,39130000000.0,9.12,0.57,China
Chipotle Mexican Grill,CMG,38940000000.0,1405.0,1.94,USA
Sysco,SYY,38940000000.0,76.84,0.19,USA
Xcel Energy,XEL,38890000000.0,71.07,0.71,USA
Microchip Technology,MCHP,38740000000.0,70.45,3.8,USA
Honda,HMC,38740000000.0,22.9,2.46,Japan
IQVIA,IQV,38590000000.0,207.81,2.94,USA
Fortinet,FTNT,38440000000.0,49.21,2.82,USA
Nutrien,NTR,38390000000.0,73.37,0.99,Canada
UOB,U11.SI,38280000000.0,22.86,0.06,Singapore
Muyuan Foods,002714.SZ,38240000000.0,6.99,1.14,China
Apollo Global Management,APO,38140000000.0,63.57,1.68,USA
Prudential,PUK,37780000000.0,27.49,2.23,UK
Ørsted,DOGEF,37740000000.0,89.78,0.17,Denmark
MSCI,MSCI,37730000000.0,471.92,3.85,USA
Block,SQ,37630000000.0,62.92,6.5,USA
Newmont,NEM,37590000000.0,47.36,0.02,USA
Adani Green Energy,ADANIGREEN.NS,37520000000.0,23.69,2.6,India
Parker-Hannifin,PH,37490000000.0,292.0,1.79,USA
Arista Networks,ANET,37450000000.0,121.88,2.27,USA
Zijin Mining,601899.SS,37410000000.0,1.43,1.63,China
Lloyds Banking Group,LYG,37400000000.0,2.22,0.45,UK
Volvo Group,VOLVF,37370000000.0,18.0,0.0,Sweden
7-Eleven,3382.T,37370000000.0,42.32,0.0,Japan
Sika,SIKA.SW,37270000000.0,243.4,0.31,Switzerland
Cheniere Energy,LNG,37260000000.0,149.86,0.27,USA
Cenovus Energy,CVE,37250000000.0,19.3,2.71,Canada
Haleon,HLN,37210000000.0,8.06,1.9,UK
BioNTech,BNTX,37150000000.0,153.11,0.93,Germany
Bank of New York Mellon,BK,36900000000.0,45.66,2.31,USA
